노선명,역명,승차총승객수,하차총승객수,승하차총승객수
경인선,중동,163478,153632,317110
경춘선,가평,21414,21590,43004
경춘선,갈매,51438,44757,96195
경춘선,강촌,5003,4972,9975
경춘선,굴봉산,1814,1890,3704
경춘선,금곡,27391,25780,53171
경춘선,김유정,3672,3735,7407
경춘선,남춘천,32202,33417,65619
경춘선,대성리,7557,7034,14591
경춘선,마석,58489,57230,115719
경춘선,백양리,1220,1086,2306
경춘선,별내,42496,42236,84732
경춘선,사릉,59492,57311,116803
경춘선,상천,4216,4045,8261
경춘선,신내,22572,23445,46017
경춘선,천마산,25929,24064,49993
경춘선,청평,21779,21737,43516
경춘선,춘천,17243,15984,33227
경춘선,퇴계원,63736,58542,122278
경춘선,평내호평,94798,93530,188328
공항철도 1호선,검암,137609,131975,269584
공항철도 1호선,계양,168585,153346,321931
공항철도 1호선,공덕,37519,47287,84806
공항철도 1호선,공항화물청사,48768,54384,103152
공항철도 1호선,김포공항,120632,80488,201120
공항철도 1호선,디지털미디어시티,235149,216482,451631
공항철도 1호선,마곡나루,40469,37037,77506
공항철도 1호선,마곡나루(서울식물원),91802,84079,175881
공항철도 1호선,서울역,97424,90990,188414
공항철도 1호선,영종,43850,45126,88976
공항철도 1호선,운서,115595,116848,232443
공항철도 1호선,인천공항1터미널,89872,86268,176140
공항철도 1호선,인천공항2터미널,50323,40952,91275
공항철도 1호선,청라국제도시,111213,103668,214881
공항철도 1호선,홍대입구,134678,139817,274495
과천선,경마공원,19326,19473,38799
과천선,과천,79194,73579,152773
과천선,대공원,29695,31838,61533
과천선,범계,449581,437995,887576
과천선,선바위,155667,138625,294292
과천선,인덕원,425262,441068,866330
과천선,정부과천청사,154675,151208,305883
과천선,평촌,325220,323706,648926
분당선,가천대,107754,125980,233734
분당선,강남구청,164507,190905,355412
분당선,개포동,53282,57146,110428
분당선,구룡,22133,22305,44438
분당선,구성,75812,77760,153572
분당선,기흥,153790,146197,299987
분당선,대모산입구,57831,53881,111712
분당선,도곡,104039,105797,209836
분당선,망포,223783,211671,435454
분당선,매교,36567,36771,73338
분당선,매탄권선,72346,67952,140298
분당선,모란,351789,356107,707896
분당선,미금,252208,270804,523012
분당선,보정,37671,31136,68807
분당선,복정,6,0,6
분당선,상갈,86584,79968,166552
분당선,서울숲,160782,163217,323999
분당선,서현,390780,393892,784672
분당선,선릉,243001,380449,623450
분당선,선정릉,149251,160958,310209
분당선,수내,206422,206881,413303
분당선,수서,208830,214079,422909
분당선,수원,128134,87816,215950
분당선,수원시청,182961,205248,388209
분당선,신갈,71300,69516,140816
분당선,압구정로데오,283644,320516,604160
분당선,야탑,420777,440154,860931
분당선,영통,125089,128228,253317
분당선,오리,199609,169249,368858
분당선,이매,81115,77425,158540
분당선,정자,261534,280462,541996
분당선,죽전,211466,225661,437127
분당선,청명,64999,60898,125897
분당선,태평,241993,234277,476270
분당선,한티,212678,225353,438031
수인선,남동인더스파크,43991,49436,93427
수인선,달월,1654,1148,2802
수인선,소래포구,67604,62984,130588
수인선,송도,41643,37799,79442
수인선,숭의,65319,60028,125347
수인선,신포,26591,28233,54824
수인선,연수,73134,74012,147146
수인선,원인재,71540,72660,144200
수인선,월곶,38888,36896,75784
수인선,인천,13466,22691,36157
수인선,인천논현,94672,98494,193166
수인선,인하대,87143,82638,169781
수인선,호구포,63872,65081,128953
안산선,고잔,143110,139032,282142
안산선,대야미,90074,80274,170348
안산선,반월,77088,72548,149636
안산선,산본,295510,316144,611654
안산선,상록수,324977,322413,647390
안산선,수리산,76763,60940,137703
안산선,신길온천,27430,25035,52465
안산선,안산,213960,186148,400108
안산선,오이도,151386,144077,295463
안산선,정왕,117142,127347,244489
안산선,중앙,260531,275581,536112
안산선,초지,71888,71108,142996
안산선,한대앞,129648,129748,259396
우이신설선,4.19민주묘지,45444,44278,89722
우이신설선,가오리,68228,68840,137068
우이신설선,보문,25777,26669,52446
우이신설선,북한산보국문,97438,94174,191612
우이신설선,북한산우이,42383,38439,80822
우이신설선,삼양,35147,38215,73362
우이신설선,삼양사거리,41101,42160,83261
우이신설선,성신여대입구(돈암),51566,58539,110105
우이신설선,솔밭공원,40185,39716,79901
우이신설선,솔샘,98441,92325,190766
우이신설선,신설동,38855,38583,77438
우이신설선,정릉,72965,69759,142724
우이신설선,화계,56876,54003,110879
일산선,대곡,31061,22704,53765
일산선,대화,235576,182439,418015
일산선,마두,124945,131166,256111
일산선,백석,178299,180234,358533
일산선,삼송,308146,295228,603374
일산선,원당,196730,188089,384819
일산선,원흥,162048,152890,314938
일산선,정발산,121740,127988,249728
일산선,주엽,141707,145229,286936
일산선,화정,294830,305117,599947
장항선,배방,12625,11818,24443
장항선,봉명,16955,16200,33155
장항선,신창(순천향대),14259,13628,27887
장항선,쌍용(나사렛대),24459,22703,47162
장항선,아산,31045,28843,59888
장항선,온양온천,43411,44182,87593
중앙선,구리,241845,245824,487669
중앙선,국수,10676,10880,21556
중앙선,덕소,101334,100105,201439
중앙선,도농,169105,153827,322932
중앙선,도심,45714,35283,80997
중앙선,망우,131716,128333,260049
중앙선,상봉(시외버스터미널),104850,101826,206676
중앙선,신원,3431,3050,6481
중앙선,아신,8597,8642,17239
중앙선,양수,26917,27293,54210
중앙선,양원,24275,23972,48247
중앙선,양정,16284,14227,30511
중앙선,양평,41672,41964,83636
중앙선,오빈,4554,4553,9107
중앙선,용문,26097,26821,52918
중앙선,운길산,12410,11713,24123
중앙선,원덕,5306,5180,10486
중앙선,중랑,99582,95025,194607
중앙선,지평,755,550,1305
중앙선,팔당,13741,13691,27432
중앙선,회기,388053,370575,758628
