지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원,lat,lng
보라매공원,1229,1397,1229,1397,37.4930838003695,126.919756524074
보라매,1815,1639,1815,1639,37.5008205922635,126.920735867544
서울지방병무청,1584,1718,1584,1718,37.5057661785548,126.922726823845
대방,1298,949,1298,949,37.5128688879851,126.925248506022
샛강,1359,1881,1359,1881,37.5175286381865,126.930460204563
샛강,2171,2843,2171,2843,37.5175286381865,126.930460204563
대방,1676,1320,1676,1320,37.5128688879851,126.925248506022
서울지방병무청,1988,2216,1988,2216,37.5057661785548,126.922726823845
보라매,2481,2220,2481,2220,37.5008205922635,126.920735867544
보라매공원,1561,1757,1561,1757,37.4930838003695,126.919756524074
보라매병원,5716,5989,5716,5989,37.4938896313487,126.924073975494
당곡,3157,3085,3157,3085,37.4898907244889,126.927718112844
신림,1518,2027,1518,2027,37.4841196518392,126.928712092948
서원,2419,2231,2419,2231,37.478259985687,126.933262205033
서울대벤처타운,5870,6051,5870,6051,37.4720905385625,126.933969602866
관악산,2897,2875,2897,2875,37.4687413067708,126.945653230284
서울지방병무청,2007,2206,2007,2206,37.5057661785548,126.922726823845
대방,1776,1295,1776,1295,37.5128688879851,126.925248506022
샛강,2309,2809,2309,2809,37.5175286381865,126.930460204563
보라매,2523,2408,2523,2408,37.5008205922635,126.920735867544
보라매공원,1728,1832,1728,1832,37.4930838003695,126.919756524074
보라매병원,6111,6246,6111,6246,37.4938896313487,126.924073975494
당곡,3248,3267,3248,3267,37.4898907244889,126.927718112844
신림,1657,2201,1657,2201,37.4841196518392,126.928712092948
서원,2449,2337,2449,2337,37.478259985687,126.933262205033
서울대벤처타운,6132,6280,6132,6280,37.4720905385625,126.933969602866
관악산,3151,3295,3151,3295,37.4687413067708,126.945653230284
샛강,2140,2659,2140,2659,37.5175286381865,126.930460204563
대방,1814,1352,1814,1352,37.5128688879851,126.925248506022
서울지방병무청,2013,2163,2013,2163,37.5057661785548,126.922726823845
보라매,2538,2362,2538,2362,37.5008205922635,126.920735867544
보라매공원,1516,1709,1516,1709,37.4930838003695,126.919756524074
보라매병원,5869,6249,5869,6249,37.4938896313487,126.924073975494
당곡,3246,3295,3246,3295,37.4898907244889,126.927718112844
신림,1546,2011,1546,2011,37.4841196518392,126.928712092948
서원,2555,2277,2555,2277,37.478259985687,126.933262205033
서울대벤처타운,5849,6030,5849,6030,37.4720905385625,126.933969602866
관악산,2176,2216,2176,2216,37.4687413067708,126.945653230284
샛강,2338,2905,2338,2905,37.5175286381865,126.930460204563
대방,1851,1405,1851,1405,37.5128688879851,126.925248506022
서울지방병무청,2114,2252,2114,2252,37.5057661785548,126.922726823845
보라매,2639,2342,2639,2342,37.5008205922635,126.920735867544
보라매공원,1747,1935,1747,1935,37.4930838003695,126.919756524074
보라매병원,6276,6759,6276,6759,37.4938896313487,126.924073975494
당곡,3366,3343,3366,3343,37.4898907244889,126.927718112844
신림,1688,2130,1688,2130,37.4841196518392,126.928712092948
서원,2661,2281,2661,2281,37.478259985687,126.933262205033
서울대벤처타운,6173,6243,6173,6243,37.4720905385625,126.933969602866
관악산,2843,2829,2843,2829,37.4687413067708,126.945653230284
샛강,2210,2884,2210,2884,37.5175286381865,126.930460204563
대방,1967,1367,1967,1367,37.5128688879851,126.925248506022
서울지방병무청,2099,2263,2099,2263,37.5057661785548,126.922726823845
보라매,2830,2447,2830,2447,37.5008205922635,126.920735867544
보라매공원,1781,1912,1781,1912,37.4930838003695,126.919756524074
보라매병원,5660,5790,5660,5790,37.4938896313487,126.924073975494
당곡,3619,3263,3619,3263,37.4898907244889,126.927718112844
신림,1760,2193,1760,2193,37.4841196518392,126.928712092948
서원,2768,2260,2768,2260,37.478259985687,126.933262205033
서울대벤처타운,6353,6266,6353,6266,37.4720905385625,126.933969602866
관악산,3118,3054,3118,3054,37.4687413067708,126.945653230284
샛강,1255,1824,1255,1824,37.5175286381865,126.930460204563
대방,1907,1074,1907,1074,37.5128688879851,126.925248506022
서울지방병무청,1651,1704,1651,1704,37.5057661785548,126.922726823845
보라매,2274,2035,2274,2035,37.5008205922635,126.920735867544
보라매공원,1379,1416,1379,1416,37.4930838003695,126.919756524074
보라매병원,2824,2892,2824,2892,37.4938896313487,126.924073975494
당곡,2796,2565,2796,2565,37.4898907244889,126.927718112844
신림,1621,1848,1621,1848,37.4841196518392,126.928712092948
서원,2253,1788,2253,1788,37.478259985687,126.933262205033
서울대벤처타운,5859,5178,5859,5178,37.4720905385625,126.933969602866
관악산,3894,4182,3894,4182,37.4687413067708,126.945653230284
서울대벤처타운,4455,4356,4455,4356,37.4720905385625,126.933969602866
관악산,4120,4327,4120,4327,37.4687413067708,126.945653230284
샛강,1082,1603,1082,1603,37.5175286381865,126.930460204563
대방,1236,892,1236,892,37.5128688879851,126.925248506022
서울지방병무청,1321,1475,1321,1475,37.5057661785548,126.922726823845
보라매,1653,1507,1653,1507,37.5008205922635,126.920735867544
보라매공원,1124,1235,1124,1235,37.4930838003695,126.919756524074
보라매병원,1971,2054,1971,2054,37.4938896313487,126.924073975494
당곡,2139,2017,2139,2017,37.4898907244889,126.927718112844
신림,1258,1649,1258,1649,37.4841196518392,126.928712092948
서원,1882,1723,1882,1723,37.478259985687,126.933262205033
샛강,2185,2753,2185,2753,37.5175286381865,126.930460204563
대방,1778,1344,1778,1344,37.5128688879851,126.925248506022
서울지방병무청,2084,2221,2084,2221,37.5057661785548,126.922726823845
보라매,2793,2469,2793,2469,37.5008205922635,126.920735867544
보라매공원,1656,1799,1656,1799,37.4930838003695,126.919756524074
보라매병원,6106,6409,6106,6409,37.4938896313487,126.924073975494
당곡,3314,3204,3314,3204,37.4898907244889,126.927718112844
신림,1613,2222,1613,2222,37.4841196518392,126.928712092948
서원,2638,2348,2638,2348,37.478259985687,126.933262205033
서울대벤처타운,6112,6318,6112,6318,37.4720905385625,126.933969602866
관악산,2974,3007,2974,3007,37.4687413067708,126.945653230284
샛강,2039,3031,2039,3031,37.5175286381865,126.930460204563
대방,1878,1841,1878,1841,37.5128688879851,126.925248506022
서울지방병무청,2017,1895,2017,1895,37.5057661785548,126.922726823845
보라매,2586,2642,2586,2642,37.5008205922635,126.920735867544
보라매공원,1585,1974,1585,1974,37.4930838003695,126.919756524074
보라매병원,5744,6331,5744,6331,37.4938896313487,126.924073975494
당곡,3162,2709,3162,2709,37.4898907244889,126.927718112844
신림,1466,1938,1466,1938,37.4841196518392,126.928712092948
서원,2626,1954,2626,1954,37.478259985687,126.933262205033
서울대벤처타운,5808,4848,5808,4848,37.4720905385625,126.933969602866
관악산,2830,2829,2830,2829,37.4687413067708,126.945653230284
샛강,2275,2794,2275,2794,37.5175286381865,126.930460204563
대방,1867,1453,1867,1453,37.5128688879851,126.925248506022
서울지방병무청,2031,2221,2031,2221,37.5057661785548,126.922726823845
보라매,2725,2559,2725,2559,37.5008205922635,126.920735867544
보라매공원,1707,1838,1707,1838,37.4930838003695,126.919756524074
보라매병원,6284,6656,6284,6656,37.4938896313487,126.924073975494
당곡,3513,3401,3513,3401,37.4898907244889,126.927718112844
신림,1567,2082,1567,2082,37.4841196518392,126.928712092948
서원,2675,2380,2675,2380,37.478259985687,126.933262205033
서울대벤처타운,6098,6316,6098,6316,37.4720905385625,126.933969602866
관악산,3139,3110,3139,3110,37.4687413067708,126.945653230284
관악산,1923,2015,1923,2015,37.4687413067708,126.945653230284
서울대벤처타운,5716,5959,5716,5959,37.4720905385625,126.933969602866
서원,2548,2698,2548,2698,37.478259985687,126.933262205033
신림,1585,1946,1585,1946,37.4841196518392,126.928712092948
당곡,3548,3558,3548,3558,37.4898907244889,126.927718112844
보라매병원,6645,6448,6645,6448,37.4938896313487,126.924073975494
보라매공원,1577,1729,1577,1729,37.4930838003695,126.919756524074
보라매,2689,2503,2689,2503,37.5008205922635,126.920735867544
서울지방병무청,2041,2382,2041,2382,37.5057661785548,126.922726823845
대방,1731,1334,1731,1334,37.5128688879851,126.925248506022
샛강,2039,2461,2039,2461,37.5175286381865,126.930460204563
샛강,2152,2700,2152,2700,37.5175286381865,126.930460204563
대방,2016,1422,2016,1422,37.5128688879851,126.925248506022
서울지방병무청,2143,2289,2143,2289,37.5057661785548,126.922726823845
보라매,2811,2505,2811,2505,37.5008205922635,126.920735867544
보라매공원,1654,1789,1654,1789,37.4930838003695,126.919756524074
보라매병원,5543,5774,5543,5774,37.4938896313487,126.924073975494
당곡,3645,3380,3645,3380,37.4898907244889,126.927718112844
신림,1669,2127,1669,2127,37.4841196518392,126.928712092948
서원,2799,2328,2799,2328,37.478259985687,126.933262205033
서울대벤처타운,6470,6358,6470,6358,37.4720905385625,126.933969602866
관악산,2664,2631,2664,2631,37.4687413067708,126.945653230284
샛강,1237,1737,1237,1737,37.5175286381865,126.930460204563
대방,1896,1193,1896,1193,37.5128688879851,126.925248506022
서울지방병무청,1854,1943,1854,1943,37.5057661785548,126.922726823845
보라매,2024,1783,2024,1783,37.5008205922635,126.920735867544
보라매공원,1373,1475,1373,1475,37.4930838003695,126.919756524074
보라매병원,2903,2950,2903,2950,37.4938896313487,126.924073975494
당곡,3010,2582,3010,2582,37.4898907244889,126.927718112844
신림,1472,1965,1472,1965,37.4841196518392,126.928712092948
서원,2404,2063,2404,2063,37.478259985687,126.933262205033
서울대벤처타운,5921,5286,5921,5286,37.4720905385625,126.933969602866
관악산,4215,4404,4215,4404,37.4687413067708,126.945653230284
샛강,955,1168,955,1168,37.5175286381865,126.930460204563
대방,1228,894,1228,894,37.5128688879851,126.925248506022
