지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원,lat,lng
화계,3276,3054,3276,3054,37.6339304770753,127.0172978051
가오리,3905,3964,3905,3964,37.641713417798,127.016940435565
4.19민주묘지,2623,2531,2623,2531,37.6494786329719,127.013478245674
솔밭공원,2451,2301,2451,2301,37.6561546882896,127.013091650663
북한산우이,2455,2219,2455,2219,37.6629661525542,127.012702176264
4.19민주묘지,2733,2587,2733,2587,37.6494786329719,127.013478245674
가오리,3976,3888,3976,3888,37.641713417798,127.016940435565
보문,1493,1482,1493,1482,37.5847632748488,127.019790458317
북한산보국문,5849,5522,5849,5522,37.6121461272569,127.008208009279
북한산우이,2437,2250,2437,2250,37.6629661525542,127.012702176264
삼양,2006,2098,2006,2098,37.626835165677,127.018198221331
삼양사거리,2467,2495,2467,2495,37.6214280999689,127.020237295242
성신여대입구,3179,3626,3179,3626,37.5927179261346,127.016477649743
솔밭공원,2398,2272,2398,2272,37.6561546882896,127.013091650663
솔샘,5845,5334,5845,5334,37.6202522935181,127.013408969328
신설동,2053,2030,2053,2030,37.5762451837487,127.023278761358
정릉,4572,4191,4572,4191,37.6026876819314,127.013496185509
화계,3267,3075,3267,3075,37.6339304770753,127.0172978051
북한산우이,3113,3140,3113,3140,37.6629661525542,127.012702176264
솔밭공원,1709,1585,1709,1585,37.6561546882896,127.013091650663
4.19민주묘지,2192,1961,2192,1961,37.6494786329719,127.013478245674
가오리,2774,2674,2774,2674,37.641713417798,127.016940435565
화계,2382,2265,2382,2265,37.6339304770753,127.0172978051
삼양,1481,1539,1481,1539,37.626835165677,127.018198221331
삼양사거리,1785,1781,1785,1781,37.6214280999689,127.020237295242
솔샘,3748,3354,3748,3354,37.6202522935181,127.013408969328
북한산보국문,4600,4112,4600,4112,37.6121461272569,127.008208009279
정릉,3366,2803,3366,2803,37.6026876819314,127.013496185509
성신여대입구,2769,3199,2769,3199,37.5927179261346,127.016477649743
보문,1097,1059,1097,1059,37.5847632748488,127.019790458317
신설동,1316,1290,1316,1290,37.5762451837487,127.023278761358
북한산우이,2291,2542,2291,2542,37.6629661525542,127.012702176264
솔밭공원,1287,1245,1287,1245,37.6561546882896,127.013091650663
4.19민주묘지,1667,1436,1667,1436,37.6494786329719,127.013478245674
가오리,2179,2044,2179,2044,37.641713417798,127.016940435565
화계,1859,1709,1859,1709,37.6339304770753,127.0172978051
삼양,1094,1149,1094,1149,37.626835165677,127.018198221331
삼양사거리,1381,1362,1381,1362,37.6214280999689,127.020237295242
솔샘,2524,2451,2524,2451,37.6202522935181,127.013408969328
북한산보국문,3404,3139,3404,3139,37.6121461272569,127.008208009279
정릉,2491,2070,2491,2070,37.6026876819314,127.013496185509
성신여대입구,2081,2280,2081,2280,37.5927179261346,127.016477649743
보문,844,846,844,846,37.5847632748488,127.019790458317
신설동,1053,1034,1053,1034,37.5762451837487,127.023278761358
신설동,2080,1976,2080,1976,37.5762451837487,127.023278761358
보문,1443,1428,1443,1428,37.5847632748488,127.019790458317
성신여대입구,3091,3430,3091,3430,37.5927179261346,127.016477649743
정릉,4401,4057,4401,4057,37.6026876819314,127.013496185509
북한산보국문,5608,5437,5608,5437,37.6121461272569,127.008208009279
솔샘,5676,5404,5676,5404,37.6202522935181,127.013408969328
삼양사거리,2428,2425,2428,2425,37.6214280999689,127.020237295242
삼양,1911,2060,1911,2060,37.626835165677,127.018198221331
화계,3221,3063,3221,3063,37.6339304770753,127.0172978051
가오리,3959,3941,3959,3941,37.641713417798,127.016940435565
4.19민주묘지,2592,2577,2592,2577,37.6494786329719,127.013478245674
솔밭공원,2415,2279,2415,2279,37.6561546882896,127.013091650663
북한산우이,2344,2117,2344,2117,37.6629661525542,127.012702176264
북한산우이,2233,1980,2233,1980,37.6629661525542,127.012702176264
4.19민주묘지,2451,2486,2451,2486,37.6494786329719,127.013478245674
가오리,3908,3890,3908,3890,37.641713417798,127.016940435565
화계,3191,3042,3191,3042,37.6339304770753,127.0172978051
삼양,1907,2015,1907,2015,37.626835165677,127.018198221331
삼양사거리,2318,2356,2318,2356,37.6214280999689,127.020237295242
솔샘,5791,5447,5791,5447,37.6202522935181,127.013408969328
북한산보국문,5650,5512,5650,5512,37.6121461272569,127.008208009279
정릉,4419,4185,4419,4185,37.6026876819314,127.013496185509
성신여대입구,3137,3462,3137,3462,37.5927179261346,127.016477649743
보문,1446,1423,1446,1423,37.5847632748488,127.019790458317
신설동,1931,1894,1931,1894,37.5762451837487,127.023278761358
솔밭공원,2377,2281,2377,2281,37.6561546882896,127.013091650663
북한산우이,2277,1919,2277,1919,37.6629661525542,127.012702176264
신설동,2008,1876,2008,1876,37.5762451837487,127.023278761358
보문,1442,1454,1442,1454,37.5847632748488,127.019790458317
성신여대입구,3076,3332,3076,3332,37.5927179261346,127.016477649743
정릉,4389,4157,4389,4157,37.6026876819314,127.013496185509
북한산보국문,5623,5536,5623,5536,37.6121461272569,127.008208009279
솔샘,5722,5395,5722,5395,37.6202522935181,127.013408969328
삼양사거리,2248,2318,2248,2318,37.6214280999689,127.020237295242
삼양,1822,1929,1822,1929,37.626835165677,127.018198221331
화계,3134,3070,3134,3070,37.6339304770753,127.0172978051
가오리,3836,3788,3836,3788,37.641713417798,127.016940435565
4.19민주묘지,2555,2415,2555,2415,37.6494786329719,127.013478245674
솔밭공원,2273,2241,2273,2241,37.6561546882896,127.013091650663
북한산우이,2268,1947,2268,1947,37.6629661525542,127.012702176264
솔밭공원,2335,2242,2335,2242,37.6561546882896,127.013091650663
4.19민주묘지,2485,2367,2485,2367,37.6494786329719,127.013478245674
가오리,3766,3868,3766,3868,37.641713417798,127.016940435565
화계,3130,3057,3130,3057,37.6339304770753,127.0172978051
삼양,1841,1953,1841,1953,37.626835165677,127.018198221331
삼양사거리,2248,2323,2248,2323,37.6214280999689,127.020237295242
솔샘,5627,5396,5627,5396,37.6202522935181,127.013408969328
