사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,퇴근시간 승차인원,퇴근시간 하차인원
202204,경부선,남영,31831,79097,80528,50378
202204,경부선,노량진,46132,31824,49913,77699
202204,경부선,당정,59607,28562,33261,50392
202204,경부선,대방,79215,91522,88159,84596
202204,경부선,독산,105162,158742,166776,104329
202204,경부선,두정,36760,31740,44551,47866
202204,경부선,명학,58902,90389,80040,50080
202204,경부선,병점,122431,59362,81330,129756
202204,경부선,서동탄,17498,3758,4889,12657
202204,경부선,서울역,25873,11927,44251,17883
202204,경부선,서정리,41020,40068,57695,47848
202204,경부선,석수,89884,35291,43740,77285
202204,경부선,성균관대,141764,39921,65577,140647
202204,경부선,성환,15510,31385,37867,20974
202204,경부선,세류,30226,10496,14476,25988
202204,경부선,세마,23848,14322,16451,22364
202204,경부선,송탄,34644,16772,24873,37999
202204,경부선,수원,170313,159222,256181,300039
202204,경부선,신길,64937,48771,57534,52318
202204,경부선,신도림,24031,25447,29737,30518
202204,경부선,안양,190463,75831,120385,208619
202204,경부선,영등포,108274,194463,324394,258326
202204,경부선,오산,64179,57132,66945,76742
202204,경부선,오산대,28777,18415,22228,29082
202204,경부선,용산,53128,235538,327344,174891
202204,경부선,의왕,71863,63092,61572,65423
202204,경부선,직산,4882,7099,7755,4873
202204,경부선,진위,7371,19015,19380,6691
202204,경부선,천안,24834,24673,44621,45023
202204,경부선,평택,71159,49592,81315,102326
202204,경부선,평택지제,19897,28103,29559,19965
202204,경부선,화서,96166,20526,27871,83407
202203,경부선,가산디지털단지,34292,203254,202507,63831
202203,경부선,관악,67891,17159,24016,59325
202203,경부선,광명,21161,13615,21875,20538
202203,경부선,구로,85779,109765,122066,99048
202203,경부선,군포,41301,85095,67161,34679
202203,경부선,금정,184058,147137,151317,191489
202203,경부선,금천구청,98178,45443,47661,96974
202203,경부선,남영,28260,74124,74541,44625
202203,경부선,노량진,40775,30349,42358,64991
202203,경부선,당정,54225,26363,29557,46426
202203,경부선,대방,70749,82560,79324,78244
202203,경부선,독산,96116,151575,158503,95941
202203,경부선,두정,33124,31642,42837,44317
202203,경부선,명학,53649,88118,76809,46429
202203,경부선,병점,111227,54437,72145,117489
202203,경부선,서동탄,15804,3542,4373,11358
202203,경부선,서울역,23129,10000,35188,15412
202203,경부선,서정리,36703,37076,51079,43873
202203,경부선,석수,83020,32940,39043,71363
202203,경부선,성균관대,130669,36967,59515,129472
202203,경부선,성환,13957,27829,32999,19147
202203,경부선,세류,28293,9513,12417,23517
202203,경부선,세마,22151,13066,14582,20487
202203,경부선,송탄,31571,15548,22183,34851
202203,경부선,수원,157062,143258,228610,261402
202203,경부선,신길,58944,44518,50402,48329
202203,경부선,신도림,21305,23491,28179,26278
202203,경부선,안양,172913,67361,100766,186789
202203,경부선,영등포,99186,174905,296213,217320
202203,경부선,오산,59262,54053,60879,69534
202203,경부선,오산대,26043,16722,18786,26105
202203,경부선,용산,46117,201938,293030,144585
202203,경부선,의왕,66740,58046,54198,60207
202203,경부선,직산,4187,6308,6740,4078
202203,경부선,진위,6969,18032,17327,6087
202203,경부선,천안,22084,22337,40871,39522
202203,경부선,평택,64581,44758,74262,91049
202203,경부선,평택지제,18217,27025,27015,17774
202203,경부선,화서,87560,18146,23454,75340
202202,경부선,가산디지털단지,28469,176144,174391,55054
202202,경부선,관악,56197,14437,20519,50535
202202,경부선,광명,18887,10848,18698,18745
202202,경부선,구로,71462,96629,110446,85594
202202,경부선,군포,34402,71617,57100,29130
202202,경부선,금정,152049,120526,128872,162372
202202,경부선,금천구청,81431,39346,42435,83273
202202,경부선,남영,23826,54473,64381,38962
202202,경부선,노량진,32905,26923,37406,56023
202202,경부선,당정,43492,21044,23421,37924
202202,경부선,대방,57483,71429,68980,67477
202202,경부선,독산,78951,130295,137480,83403
202202,경부선,두정,23982,11845,23032,31033
202202,경부선,명학,44907,64675,55485,38478
202202,경부선,병점,80937,43742,58559,91139
202202,경부선,서동탄,12842,3230,3847,9345
202202,경부선,서울역,20513,8899,33325,14254
202202,경부선,서정리,26406,25684,38922,35941
202202,경부선,석수,69086,27374,33527,60545
202202,경부선,성균관대,105767,25817,44187,107456
202202,경부선,성환,9907,15044,16668,13814
202202,경부선,세류,22842,8074,10883,19464
202202,경부선,세마,16312,10584,12099,16611
202202,경부선,송탄,23773,11357,17808,28974
202202,경부선,수원,123297,103389,190777,209158
202202,경부선,신길,50193,35218,42702,42285
202202,경부선,신도림,17634,20278,25705,21803
202202,경부선,안양,142597,43250,70667,154437
202202,경부선,영등포,83035,153047,271166,190947
202202,경부선,오산,42902,42921,50836,55046
202202,경부선,오산대,19431,10617,13403,20651
202202,경부선,용산,40258,173993,266428,130013
202202,경부선,의왕,54077,47094,44235,51276
202202,경부선,직산,3049,4781,5299,3197
202202,경부선,진위,4804,13790,14405,4564
202202,경부선,천안,15075,12093,24519,28566
202202,경부선,평택,43658,32604,57221,66594
