사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수,평일주말
20200104,분당선,구룡,1037,1020,2057,주말
20200104,분당선,개포동,2791,2847,5638,주말
20200104,분당선,대모산입구,2716,2329,5045,주말
20200104,분당선,수서,12654,12548,25202,주말
20200104,분당선,수원,8136,5948,14084,주말
20200104,분당선,서울숲,6653,6760,13413,주말
20200104,분당선,압구정로데오,16232,18714,34946,주말
20200104,분당선,강남구청,6113,7273,13386,주말
20200104,분당선,선정릉,4237,4333,8570,주말
20200104,분당선,가천대,5285,5870,11155,주말
20200104,분당선,태평,12760,12505,25265,주말
20200104,분당선,모란,26566,27577,54143,주말
20200104,분당선,야탑,23732,25151,48883,주말
20200104,분당선,서현,25584,25803,51387,주말
20200104,분당선,수내,10939,10323,21262,주말
20200104,분당선,정자,12743,13153,25896,주말
20200104,분당선,미금,13953,14560,28513,주말
20200104,분당선,오리,10007,8157,18164,주말
20200104,분당선,이매,5052,5114,10166,주말
20200104,분당선,보정,2145,1830,3975,주말
20200104,분당선,죽전,12227,13916,26143,주말
20200104,분당선,구성,3984,3893,7877,주말
20200104,분당선,신갈,3659,3562,7221,주말
20200104,분당선,기흥,8141,7719,15860,주말
20200104,분당선,상갈,4881,4498,9379,주말
20200104,분당선,청명,3312,3193,6505,주말
20200104,분당선,영통,8337,8130,16467,주말
20200104,분당선,망포,10754,9554,20308,주말
20200104,분당선,매탄권선,3722,3374,7096,주말
20200104,분당선,수원시청,12366,14853,27219,주말
20200104,분당선,매교,1774,1895,3669,주말
20200104,일산선,원흥,7241,6579,13820,주말
20200104,일산선,삼송,15413,14156,29569,주말
20200104,일산선,화정,16054,16395,32449,주말
20200104,일산선,대곡,1249,1130,2379,주말
20200104,일산선,백석,9805,9797,19602,주말
20200104,일산선,마두,6434,6478,12912,주말
20200104,일산선,정발산,8294,9391,17685,주말
20200104,일산선,주엽,7939,7933,15872,주말
20200104,일산선,대화,11371,9656,21027,주말
20200104,중앙선,회기,23138,22031,45169,주말
20200104,중앙선,중랑,4855,4632,9487,주말
20200104,중앙선,상봉,5649,5496,11145,주말
20200104,중앙선,망우,7186,7029,14215,주말
20200104,중앙선,양원,1190,1214,2404,주말
20200104,중앙선,구리,12111,12387,24498,주말
20200104,중앙선,도농,7747,7132,14879,주말
20200104,중앙선,양정,607,499,1106,주말
20200104,중앙선,덕소,5548,5222,10770,주말
20200104,중앙선,도심,1904,1705,3609,주말
20200104,중앙선,팔당,1049,1083,2132,주말
20200104,중앙선,운길산,755,871,1626,주말
20200104,중앙선,양수,1891,1790,3681,주말
20200104,중앙선,신원,161,174,335,주말
20200104,중앙선,국수,625,641,1266,주말
20200104,중앙선,아신,527,542,1069,주말
20200104,중앙선,오빈,291,311,602,주말
20200104,중앙선,양평,2771,2970,5741,주말
20200104,중앙선,원덕,341,340,681,주말
20200104,중앙선,용문,2062,2119,4181,주말
20200104,중앙선,지평,40,49,89,주말
20200104,장항선,봉명,998,967,1965,주말
20200104,장항선,쌍용,1936,1703,3639,주말
20200104,장항선,아산,2790,2639,5429,주말
20200104,장항선,배방,1126,982,2108,주말
20200104,장항선,온양온천,6678,6862,13540,주말
20200104,장항선,신창,1078,999,2077,주말
20200104,경의선,서울역,1768,1893,3661,주말
20200104,경의선,신촌,500,536,1036,주말
20200104,경의선,효창공원앞,1899,2019,3918,주말
20200104,경의선,공덕,3488,2419,5907,주말
20200104,경의선,서강대,1975,1926,3901,주말
20200104,경의선,홍대입구,2517,3111,5628,주말
20200104,경의선,가좌,4368,4092,8460,주말
20200104,경의선,디지털미디어시티,1975,1825,3800,주말
20200104,경의선,수색,1559,1542,3101,주말
20200104,경의선,화전,1510,1150,2660,주말
20200104,경의선,강매,2075,1852,3927,주말
20200104,경의선,행신,6113,5954,12067,주말
20200104,경의선,능곡,2793,2726,5519,주말
20200104,경의선,곡산,404,396,800,주말
20200104,경의선,백마,4901,4594,9495,주말
20200104,경의선,풍산,4501,4148,8649,주말
20200104,경의선,일산,6790,6416,13206,주말
20200104,경의선,탄현,6097,5734,11831,주말
20200104,경의선,야당,4779,4512,9291,주말
20200104,경의선,운정,5061,4584,9645,주말
20200104,경의선,금릉,4101,3947,8048,주말
20200104,경의선,금촌,6591,5935,12526,주말
20200104,경의선,월롱,1366,1177,2543,주말
20200104,경의선,파주,1156,759,1915,주말
20200104,경의선,문산,6358,5825,12183,주말
20200104,경춘선,신내,1025,1150,2175,주말
20200104,경춘선,갈매,1951,1645,3596,주말
20200104,경춘선,별내,2144,2105,4249,주말
20200104,경춘선,퇴계원,2857,2612,5469,주말
20200104,경춘선,사릉,2568,2324,4892,주말
20200104,경춘선,금곡,1139,1032,2171,주말
20200104,경춘선,평내호평,4688,4641,9329,주말
20200104,경춘선,천마산,1391,1316,2707,주말
20200104,경춘선,마석,3200,3128,6328,주말
20200104,경춘선,대성리,690,785,1475,주말
20200104,경춘선,청평,2046,1896,3942,주말
20200104,경춘선,상천,272,322,594,주말
20200104,경춘선,가평,1902,1937,3839,주말
20200104,경춘선,굴봉산,175,223,398,주말
20200104,경춘선,백양리,325,324,649,주말
20200104,경춘선,강촌,453,539,992,주말
20200104,경춘선,김유정,444,464,908,주말
20200104,경춘선,남춘천,3104,3133,6237,주말
20200104,경춘선,춘천,1944,1787,3731,주말
20200104,수인선,달월,43,38,81,주말
20200104,수인선,월곶,2128,2068,4196,주말
20200104,수인선,소래포구,4893,4857,9750,주말
20200104,수인선,인천논현,5151,5183,10334,주말
20200104,수인선,호구포,2575,2500,5075,주말
20200104,수인선,남동인더스파크,970,822,1792,주말
20200104,수인선,원인재,3887,3919,7806,주말
20200104,수인선,연수,4884,4917,9801,주말
20200104,수인선,송도,2404,2275,4679,주말
20200104,수인선,인하대,4111,3793,7904,주말
20200104,수인선,숭의,2877,2659,5536,주말
20200104,수인선,신포,1553,1730,3283,주말
20200104,수인선,인천,1238,2167,3405,주말
20200104,경강선,판교,2936,2931,5867,주말
20200104,경강선,이매,894,669,1563,주말
20200104,경강선,삼동,1584,1378,2962,주말
20200104,경강선,경기광주,5762,5289,11051,주말
20200104,경강선,초월,2287,2012,4299,주말
20200104,경강선,곤지암,2048,1730,3778,주말
20200104,경강선,신둔도예촌,1141,1074,2215,주말
20200104,경강선,이천,2787,2830,5617,주말
20200104,경강선,부발,1929,1588,3517,주말
20200104,경강선,세종대왕릉,342,321,663,주말
20200104,경강선,여주,2048,2090,4138,주말
20200104,5호선,방화,5465,5124,10589,주말
20200104,5호선,개화산,4393,4197,8590,주말
20200104,5호선,김포공항,8056,8076,16132,주말
20200104,5호선,송정,6276,5915,12191,주말
20200104,5호선,마곡,4173,3912,8085,주말
20200104,5호선,발산,14599,15588,30187,주말
20200104,5호선,우장산,11887,11661,23548,주말
20200104,5호선,화곡,23575,21458,45033,주말
20200104,5호선,까치산,24526,22900,47426,주말
20200104,5호선,신정,10209,8275,18484,주말
20200104,5호선,목동,13626,14081,27707,주말
20200104,5호선,오목교,20220,20904,41124,주말
20200104,5호선,양평,3897,3680,7577,주말
20200104,5호선,영등포구청,2106,2019,4125,주말
