노선명,역명,승차총승객수,하차총승객수,승하차총승객수
경의선,공덕,60359,55932,116291
경의선,금릉,77236,76458,153694
경의선,금촌,114443,113928,228371
경의선,능곡,68923,62295,131218
경의선,디지털미디어시티,43416,42257,85673
경의선,문산,92909,93074,185983
경의선,백마,121480,116448,237928
경의선,서강대,36704,34503,71207
경의선,서울역,73623,91867,165490
경의선,수색,46249,46502,92751
경의선,신촌,14293,18213,32506
경의선,야당,103773,99595,203368
경의선,운정,110571,105175,215746
경의선,월롱,39505,35849,75354
경의선,일산,167903,168813,336716
경의선,임진강,208,214,422
경의선,탄현,133847,130424,264271
경의선,파주,22414,15922,38336
경의선,풍산,95535,90017,185552
경의선,행신,139706,139605,279311
경의선,홍대입구,28227,30731,58958
경의선,화전,27495,25229,52724
경의선,효창공원앞,53191,60095,113286
경인선,간석,109008,104372,213380
경인선,개봉,409718,420342,830060
경인선,구일,116222,119439,235661
경인선,도원,59369,60503,119872
경인선,도화,70270,63677,133947
경인선,동암,296237,297964,594201
경인선,동인천,260044,247691,507735
경인선,백운,137386,136440,273826
경인선,부개,160717,151405,312122
경인선,부천,617350,624761,1242111
경인선,부평,535156,573661,1108817
경인선,소사,180860,174279,355139
경인선,송내,524465,523681,1048146
경인선,역곡,512950,508505,1021455
경인선,오류동,223532,210105,433637
경인선,온수(성공회대입구),127507,124393,251900
경인선,인천,61525,46708,108233
경인선,제물포,188624,178920,367544
경인선,주안,349883,319353,669236
경인선,중동,174181,166108,340289
경춘선,가평,27220,28726,55946
경춘선,갈매,55512,48044,103556
경춘선,강촌,7190,7556,14746
경춘선,굴봉산,2516,2452,4968
경춘선,금곡,28693,27317,56010
경춘선,김유정,4759,5339,10098
경춘선,남춘천,39345,40383,79728
경춘선,대성리,9524,8719,18243
경춘선,마석,69825,68768,138593
경춘선,백양리,1536,1503,3039
경춘선,별내,49893,48153,98046
경춘선,사릉,66370,63179,129549
경춘선,상천,6002,5901,11903
경춘선,신내,27488,28405,55893
경춘선,천마산,29970,28406,58376
경춘선,청평,27637,28477,56114
경춘선,춘천,23418,21289,44707
경춘선,퇴계원,68425,62843,131268
경춘선,평내호평,108735,107738,216473
공항철도 1호선,검암,135088,132855,267943
공항철도 1호선,계양,172700,159859,332559
공항철도 1호선,공덕,38864,47976,86840
공항철도 1호선,공항화물청사,46003,50837,96840
공항철도 1호선,김포공항,165805,106484,272289
공항철도 1호선,디지털미디어시티,241671,217888,459559
공항철도 1호선,마곡나루(서울식물원),137521,128794,266315
공항철도 1호선,서울역,115954,108749,224703
공항철도 1호선,영종,51193,52308,103501
공항철도 1호선,운서,110851,108868,219719
공항철도 1호선,인천공항1터미널,66634,70259,136893
공항철도 1호선,인천공항2터미널,37046,34765,71811
공항철도 1호선,청라국제도시,117096,109527,226623
공항철도 1호선,홍대입구,139248,140931,280179
과천선,경마공원,21573,21659,43232
과천선,과천,92426,82729,175155
과천선,대공원,40018,42511,82529
과천선,범계,452387,443633,896020
과천선,선바위,165556,144767,310323
과천선,인덕원,441459,455524,896983
과천선,정부과천청사,168534,167181,335715
과천선,평촌,334069,332969,667038
분당선,가천대,125711,142191,267902
분당선,강남구청,170589,197048,367637
분당선,개포동,60807,63600,124407
분당선,구룡,30833,30101,60934
분당선,구성,87557,90567,178124
분당선,기흥,167045,159532,326577
분당선,대모산입구,64685,59833,124518
분당선,도곡,119732,120886,240618
분당선,망포,241546,228027,469573
분당선,매교,47570,48467,96037
분당선,매탄권선,81921,77557,159478
분당선,모란,384562,387742,772304
분당선,미금,277333,296966,574299
분당선,보정,43195,36762,79957
분당선,복정,4,0,4
분당선,상갈,94766,90055,184821
분당선,서울숲,169664,170665,340329
분당선,서현,427979,436613,864592
분당선,선릉,247194,370957,618151
분당선,선정릉,149991,159915,309906
분당선,수내,230616,232144,462760
분당선,수서,235617,249529,485146
분당선,수원,142829,109300,252129
분당선,수원시청,203439,222503,425942
분당선,신갈,79116,78053,157169
분당선,압구정로데오,305273,343343,648616
분당선,야탑,456272,480283,936555
분당선,영통,138857,142931,281788
분당선,오리,215753,183160,398913
분당선,이매,97488,90716,188204
분당선,정자,284139,298575,582714
분당선,죽전,235783,256429,492212
분당선,청명,75717,71277,146994
분당선,태평,255538,246724,502262
분당선,한티,242509,260315,502824
수인선,고색,26743,26726,53469
수인선,남동인더스파크,44760,49635,94395
수인선,달월,1641,1200,2841
수인선,사리,34932,34434,69366
수인선,소래포구,99176,96632,195808
수인선,송도,45980,42129,88109
수인선,숭의,71173,66591,137764
수인선,신포,30755,31554,62309
수인선,야목,2410,2352,4762
수인선,어천,5480,5051,10531
수인선,연수,80438,79984,160422
수인선,오목천,23197,21805,45002
수인선,원인재,78915,81587,160502
수인선,월곶,45554,42746,88300
수인선,인천,18572,30809,49381
수인선,인천논현,96711,102593,199304
수인선,인하대,99174,92704,191878
수인선,호구포,66374,67927,134301
안산선,고잔,154568,149296,303864
안산선,대야미,94816,85081,179897
안산선,반월,83557,80038,163595
안산선,산본,294187,314845,609032
안산선,상록수,322358,318360,640718
안산선,수리산,81479,65224,146703
안산선,신길온천,31207,28560,59767
안산선,안산,230662,208583,439245
안산선,오이도,161016,156593,317609
안산선,정왕,156289,165053,321342
안산선,중앙,281069,297073,578142
안산선,초지,79159,81494,160653
안산선,한대앞,150320,150450,300770
우이신설선,4.19민주묘지,51212,49751,100963
우이신설선,가오리,73805,73994,147799
우이신설선,보문,27692,28011,55703
우이신설선,북한산보국문,104039,99971,204010
우이신설선,북한산우이,48429,44762,93191
우이신설선,삼양,37287,40439,77726
우이신설선,삼양사거리,44256,45624,89880
우이신설선,성신여대입구(돈암),53827,58948,112775
우이신설선,솔밭공원,44159,43278,87437
우이신설선,솔샘,103667,96939,200606
우이신설선,신설동,41696,40786,82482
우이신설선,정릉,81573,76351,157924
우이신설선,화계,61692,58204,119896
일산선,대곡,33906,26157,60063
일산선,대화,242816,190698,433514
일산선,마두,133392,139718,273110
일산선,백석,183371,186072,369443
일산선,삼송,328118,319846,647964
일산선,원당,207852,198273,406125
일산선,원흥,170599,161803,332402
일산선,정발산,124064,126596,250660
일산선,주엽,155541,158227,313768
일산선,지축,1,0,1
일산선,화정,305372,315659,621031
장항선,배방,17242,16725,33967
장항선,봉명,20959,20374,41333
장항선,신창(순천향대),25192,23450,48642
장항선,쌍용(나사렛대),34779,32066,66845
장항선,아산,45764,43763,89527
장항선,온양온천,61965,64378,126343
중앙선,구리,249563,251824,501387
중앙선,국수,13040,13066,26106
중앙선,덕소,107465,106230,213695
중앙선,도농,185177,169246,354423
중앙선,도심,47291,36532,83823
중앙선,망우,144094,140363,284457
중앙선,상봉(시외버스터미널),112137,110134,222271
중앙선,신원,4930,4402,9332
중앙선,아신,10096,10229,20325
중앙선,양수,33062,34361,67423
중앙선,양원,31370,32444,63814
중앙선,양정,16687,14944,31631
중앙선,양평,48597,50085,98682
중앙선,오빈,5333,5423,10756
중앙선,용문,34628,36853,71481
중앙선,운길산,15238,14272,29510
중앙선,원덕,6342,6472,12814
중앙선,중랑,106563,100714,207277
중앙선,지평,1072,902,1974
중앙선,팔당,17217,17348,34565
중앙선,회기,426192,405479,831671
