사용일자,노선명,역명,승차총승객수,하차총승객수
20200106,경원선,신이문,9832,9077
20200106,경원선,양주,8948,8219
20200106,경원선,옥수,54,22
20200106,경원선,왕십리(성동구청),16250,17872
20200106,경원선,외대앞,9922,9931
20200106,경원선,월계,6434,5902
20200106,경원선,응봉,1939,1672
20200106,경원선,의정부,20609,20803
20200106,경원선,이촌(국립중앙박물관),4403,3488
20200106,경원선,지행,7560,7257
20200106,경원선,청량리(서울시립대입구),16095,17026
20200106,경원선,한남,4906,4845
20200106,경원선,회룡,14141,13559
20200106,경의선,가좌,5794,5322
20200106,경의선,강매,3242,2741
20200106,경의선,곡산,616,636
20200106,경의선,공덕,4070,3601
20200106,경의선,금릉,4863,4682
20200106,경의선,금촌,7442,7136
20200106,경의선,능곡,3961,3562
20200106,경의선,디지털미디어시티,2682,2486
20200106,경의선,문산,6024,5783
20200106,경의선,백마,7700,7114
20200106,경의선,서강대,2334,2326
20200106,경의선,서울역,4859,6400
20200106,경의선,수색,2616,2671
20200106,경의선,신촌,1055,1366
20200106,경의선,야당,5947,5589
20200106,경의선,운정,6672,6097
20200106,경의선,월롱,2187,2029
20200106,경의선,일산,10021,9695
20200106,경의선,탄현,8376,8089
20200106,경의선,파주,1260,969
20200106,경의선,풍산,5831,5346
20200106,경의선,행신,8881,8688
20200106,경의선,홍대입구,1877,2309
20200106,경의선,화전,2139,2000
20200106,경의선,효창공원앞,3301,3655
20200106,경인선,간석,6942,6526
20200106,경인선,개봉,24820,25219
20200106,경인선,구일,7317,7348
20200106,경인선,도원,3941,4170
20200106,경인선,도화,4451,3951
20200106,경인선,동암,18240,18126
20200106,경인선,동인천,16443,15502
20200106,경인선,백운,8654,8504
20200106,경인선,부개,9919,9336
20200106,경인선,부천,38738,38918
20200106,경인선,부평,36394,38623
20200106,경인선,소사,11147,10596
20200106,경인선,송내,33193,32819
20200106,경인선,역곡,31687,31240
20200106,경인선,오류동,13596,12728
20200106,경인선,온수(성공회대입구),7474,7388
20200106,경인선,인천,3175,2465
20200106,경인선,제물포,11902,11012
20200106,경인선,주안,22784,20708
20200106,경인선,중동,10648,9962
20200106,경춘선,가평,1912,1963
20200106,경춘선,갈매,3041,2576
20200106,경춘선,강촌,323,297
20200106,경춘선,굴봉산,124,131
20200106,경춘선,금곡,1725,1645
20200106,경춘선,김유정,260,250
20200106,경춘선,남춘천,2604,2718
20200106,경춘선,대성리,484,606
20200106,경춘선,마석,3943,3786
20200106,경춘선,백양리,258,244
20200106,경춘선,별내,2797,2679
