사용월,호선명,지하철역,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
201503,수인분당선,압구정로데오,97120,118531,261815,162014,93705,2408,625,135095,33694,274219,393254
201503,수인분당선,야탑,152279,335671,339103,213957,228686,7619,3560,135358,173543,639080,668485
201503,수인분당선,연수,13492,36950,34755,22788,28443,1161,210,14207,22696,81823,71153
201503,수인분당선,영통,49841,98339,111849,73970,68976,2001,908,61722,61444,206438,224042
201503,수인분당선,오리,71453,204276,148621,104006,105385,5398,362,62682,98599,403182,319035
201503,수인분당선,원인재,14270,45949,37768,19793,37273,2269,520,13383,37664,99646,90222
201503,수인분당선,월곶,6135,29028,22079,13217,19607,949,165,6031,17070,59347,45449
201503,수인분당선,이매,27413,67984,54328,33804,40505,2303,910,19395,34920,129673,117571
201503,수인분당선,인천논현,26026,53307,50803,31543,44255,1672,328,25164,29983,114056,107140
201503,수인분당선,정자,107479,177530,191232,129835,134969,4097,980,96064,110833,367257,410524
201503,수인분당선,죽전,85044,283372,267085,147818,218945,6802,549,103845,220607,582299,573285
201503,수인분당선,청명,17786,48488,34072,26294,34607,1485,659,12633,38301,107726,90818
201503,수인분당선,태평,32285,194652,122953,57737,137778,13522,2371,30007,142504,399722,300113
201503,수인분당선,한티,82108,146514,186199,107195,102267,1874,855,98234,63805,304700,332967
201503,수인분당선,호구포,34712,24254,19720,24802,15305,968,295,13643,12278,54562,67005
201504,수인분당선,가천대,61845,137713,212528,84670,70633,4840,1066,68555,74100,267048,349539
201504,수인분당선,강남구청,69918,84113,134531,91192,55718,1149,606,51209,32102,160952,237157
201504,수인분당선,개포동,15438,53714,39603,20464,35419,1612,343,14319,35308,106007,90692
201504,수인분당선,구룡,19649,33932,20543,13308,16039,827,367,5626,14801,57627,55360
201504,수인분당선,구성,16366,66313,39907,21382,54258,2238,452,9604,51097,144592,107822
201504,수인분당선,기흥,37407,97226,80519,53394,61311,3399,558,32542,67727,204330,186211
201504,수인분당선,남동인더스파크,36609,13245,12097,23768,5387,509,248,9022,4077,27156,53031
201504,수인분당선,달월,1530,574,688,1775,222,12,14,105,178,946,2410
201504,수인분당선,대모산입구,16862,50477,35621,20790,31175,2252,412,9243,33243,108694,86138
201504,수인분당선,도곡,48500,73613,72485,50379,39946,1006,1001,26106,32329,129628,154315
201504,수인분당선,망포,72637,108842,77550,92786,85168,2959,1914,52244,90859,264768,242960
201504,수인분당선,매교,16128,29175,22149,15678,22259,2723,201,7220,18578,65607,57056
201504,수인분당선,매탄권선,18373,46300,29190,24325,35478,1812,648,12184,37537,105730,85748
201504,수인분당선,모란,83141,323524,254951,134288,193669,14032,3581,77036,177831,616893,519504
201504,수인분당선,미금,98857,283116,251672,140884,187722,6808,714,88855,161307,522971,512550
201504,수인분당선,보정,13227,39488,21157,14253,19538,1076,129,7254,19422,78655,53935
201504,수인분당선,복정,0,0,0,3,0,0,0,1,0,3,0
201504,수인분당선,상갈,19942,62880,40507,29071,41037,2584,443,10358,47596,128641,108488
201504,수인분당선,서울숲,30713,76997,81111,54869,47328,2371,275,21230,39249,149713,151348
201504,수인분당선,서현,135051,272529,351916,215808,193526,5227,3089,180973,116793,556790,606849
201504,수인분당선,선릉,205411,65300,215008,109568,68527,1379,1316,67052,32595,147617,454330
201504,수인분당선,선정릉,86077,73843,127379,97482,36990,1050,808,50377,21991,143548,236255
201504,수인분당선,소래포구,8941,59504,68172,26116,31379,1471,297,15162,22634,109622,100044
201504,수인분당선,송도,17175,40603,39948,21524,30969,1778,402,12658,25143,91134,82668
201504,수인분당선,수내,85880,144222,185208,114931,84933,2514,1656,90356,57102,291325,329846
201504,수인분당선,수서,60261,93660,76558,61357,59915,3518,1995,30304,58879,189762,197693
201504,수인분당선,수원,26507,92281,58384,58958,56583,4715,490,55775,40598,226694,125979
201504,수인분당선,수원시청,55017,100063,118368,73590,87722,4016,786,62661,65028,218639,239199
201504,수인분당선,신갈,10210,57884,36634,17066,39934,2527,200,7990,42682,120178,89726
201504,수인분당선,압구정로데오,98330,115142,256315,156899,93849,2200,638,133745,32599,269034,387882
201504,수인분당선,야탑,155904,325352,330400,206243,221227,7895,3505,134297,169985,628724,659794
201504,수인분당선,연수,13341,36104,34024,21908,27769,1289,177,14286,22509,81328,70051
201504,수인분당선,영통,48869,93026,108828,71829,64510,2083,972,58739,58483,197832,217152
201504,수인분당선,오리,70838,196438,144684,99109,101025,5807,340,60151,96360,391699,312222
201504,수인분당선,원인재,14669,45185,37923,19979,36641,2363,490,13755,37633,99124,90715
201504,수인분당선,월곶,6380,28816,22163,13267,19586,1006,241,6288,17517,59684,46301
201504,수인분당선,이매,28175,66595,51913,31441,39759,2399,896,20137,33991,129509,114975
201504,수인분당선,인천논현,27026,52737,50734,32075,42784,1730,405,24670,30164,113458,108329
201504,수인분당선,정자,107923,170875,185540,125422,127723,4084,917,91838,106840,355856,401220
201504,수인분당선,죽전,83929,273040,259829,142783,210761,7187,600,103280,212896,570681,557254
