사용월,호선명,지하철역,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
201507,경의중앙선,곡산,4560,5543,5517,4941,3578,240,374,2052,2643,11310,13094
201507,경의중앙선,공덕,16552,14604,17978,14109,11561,303,117,9177,9260,33034,43907
201507,경의중앙선,구리,40504,155808,133719,65972,127962,9536,1877,44025,108137,331263,284237
201507,경의중앙선,국수,4992,13386,10731,5101,4627,590,39,1563,5252,21189,21014
201507,경의중앙선,금릉,17002,51015,37221,24549,41453,3609,317,16009,36217,112939,90757
201507,경의중앙선,금촌,31413,82457,61812,39211,53967,3928,315,20352,47295,165078,140835
201507,경의중앙선,김포공항,0,0,0,3,0,0,0,0,0,0,0
201507,경의중앙선,능곡,10206,39885,29396,14420,30532,2458,430,9068,26923,91968,66955
201507,경의중앙선,덕소,15094,80048,60556,25082,57858,5102,1264,13648,56082,164332,132996
201507,경의중앙선,도농,28958,107805,58726,37641,69589,7943,1362,15285,71964,227411,161010
201507,경의중앙선,도심,9681,29484,18674,9821,17672,1709,516,5082,17161,67676,46032
201507,경의중앙선,디지털미디어시티,8159,22725,17801,12980,15440,1001,256,8162,13634,47406,39850
201507,경의중앙선,망우,22868,97234,77672,37330,72135,8984,842,20252,54774,205346,156156
201507,경의중앙선,문산,28819,79206,63653,34696,44417,5250,7,14049,43982,148625,136461
201507,경의중앙선,백마,21569,64577,41570,26756,53896,3647,1053,13757,51215,158323,115407
201507,경의중앙선,상봉,15477,63203,51680,25457,50553,7724,938,17373,44169,142662,112264
201507,경의중앙선,서강대,14138,19400,24166,15042,10346,413,28,15241,7507,41455,45839
201507,경의중앙선,서울역,47620,22702,32909,39463,11869,881,20,19212,6046,49921,86595
201507,경의중앙선,수색,20129,19020,24935,20372,11219,1151,245,8858,8064,39833,53373
201507,경의중앙선,신원,1212,3588,2990,1903,1113,146,29,549,1093,5545,5324
201507,경의중앙선,신촌,12853,6524,11030,8637,4463,248,23,6522,2086,14882,25992
201507,경의중앙선,아신,2762,11248,9543,4379,5006,389,41,1920,6324,19132,18670
201507,경의중앙선,양수,8550,37502,46058,18998,13955,772,315,6631,11843,57743,66766
201507,경의중앙선,양원,21415,28066,19122,9933,13255,1976,362,3958,10549,49777,51448
201507,경의중앙선,양정,7017,9560,8028,8372,4557,499,471,1975,3304,17957,18820
