사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,야간 승차인원,야간 하차인원
202209,경부선,서동탄,18728,3681,12177,8447,5271,13133,2019,9729
202209,경부선,서울역,29847,14300,102400,25428,53490,20390,47657,9448
202209,경부선,서정리,44366,43701,89324,70216,64407,52787,22789,41574
202209,경부선,석수,90698,34479,96103,64166,43961,78740,15727,50437
202209,경부선,성균관대,151142,42623,150106,121163,68623,145043,37318,96910
202209,경부선,성환,17087,37599,78262,74015,45145,23533,12334,21511
202209,경부선,세류,33033,10794,31492,24993,16729,27368,6629,19884
202209,경부선,세마,25614,15617,31808,21638,18072,23550,5261,16286
202209,경부선,송탄,34486,18762,56658,39781,27239,39066,11910,32920
202209,경부선,수원,179366,167471,402791,508558,272290,321743,217369,159505
202209,경부선,신길,66094,51838,82859,57929,57309,53248,20939,39244
202209,경부선,신도림,25781,24623,36803,36991,28898,31700,14725,17027
202209,경부선,안양,196142,83081,271336,270272,126146,211122,77327,115451
202209,경부선,영등포,115250,206359,379680,545664,348818,272689,234814,110510
202209,경부선,오산,67982,55780,124244,99584,69489,83260,28819,53151
202209,경부선,오산대,31328,17976,41980,34891,22767,30937,8906,18448
202209,경부선,용산,59507,259643,364492,523394,361187,213260,259354,82173
202209,경부선,의왕,69568,62064,82280,62854,59449,63413,19209,44066
202209,경부선,직산,5392,7625,9346,7671,7797,5664,2004,4323
202209,경부선,진위,7534,19974,15087,10759,20208,7248,4110,5185
202209,경부선,천안,29020,26003,102860,97457,51213,53311,22047,29533
202209,경부선,평택,74400,54050,169239,167440,90175,111837,56565,63254
202209,경부선,평택지제,24156,31518,39252,29825,33814,25389,16440,18760
202209,경부선,화서,101095,22232,77495,55356,28083,86013,12469,50448
202208,경부선,가산디지털단지,37535,222881,93095,171218,225055,70161,63219,41863
202208,경부선,관악,72053,22116,72221,58143,29456,63923,12839,38655
202208,경부선,광명,24599,15740,31475,31264,27327,24824,13086,10859
202208,경부선,구로,91655,115403,155210,171119,132664,106752,50992,81949
202208,경부선,군포,44983,78055,52566,40361,66070,37501,17586,23208
202208,경부선,금정,204133,143555,240939,193534,162842,217456,71459,152513
202208,경부선,금천구청,101070,48493,107392,83510,51878,100994,19411,54944
202208,경부선,남영,35054,74899,79405,89701,83337,52560,38823,32321
202208,경부선,노량진,46412,30035,81590,68652,46023,68991,38911,38056
202208,경부선,당정,57932,25800,55576,37429,29377,49071,10834,36367
202208,경부선,대방,65977,87116,100001,91771,79000,74436,27253,49856
202208,경부선,독산,103485,161907,126958,132649,172154,101075,40624,67084
202208,경부선,두정,35985,19772,62157,60909,32595,45843,18430,35278
202208,경부선,명학,58318,82187,64191,54225,71293,47674,21432,31924
202208,경부선,병점,111662,57449,147240,107082,75960,117279,34077,93826
202208,경부선,서동탄,17750,3925,11668,7870,5101,12537,1837,8852
202208,경부선,서울역,29402,14952,107812,26776,55360,19243,47828,8372
202208,경부선,서정리,38773,39289,79332,60205,55018,47373,21227,38762
202208,경부선,석수,86424,33435,86402,57176,41600,75064,14830,46878
202208,경부선,성균관대,141657,35285,128165,100739,57593,137053,32474,88927
202208,경부선,성환,15686,23317,44216,37939,26090,20094,7878,17790
202208,경부선,세류,30958,10587,27214,21389,14622,25262,6356,18259
202208,경부선,세마,23170,14630,29629,19751,16748,21717,5318,15796
202208,경부선,송탄,31264,17527,51318,35643,25284,34802,11007,32443
202208,경부선,수원,163693,149076,352558,462496,245156,284954,209107,149379
202208,경부선,신길,65093,49544,78705,55655,56638,52207,19954,39130
202208,경부선,신도림,24200,24151,33082,34809,27834,29645,14375,15928
202208,경부선,안양,185732,63759,219074,196335,95708,198548,61193,107875
202208,경부선,영등포,111610,207108,371688,553069,355013,265468,247067,106364
202208,경부선,오산,59518,55964,110652,86314,63919,71887,26524,50438
202208,경부선,오산대,27786,15345,34642,25883,19093,27571,8131,17247
202208,경부선,용산,59280,263861,383826,566193,379975,209956,265334,81080
