사용월,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202201,8호선,남한산성입구,13344,12233,13344,12233
202201,8호선,단대오거리,10256,10201,10256,10201
202201,8호선,모란,4146,3171,4146,3171
202201,8호선,몽촌토성,5998,5984,5998,5984
202201,8호선,문정,23357,24681,23357,24681
202201,8호선,복정,9496,8023,9496,8023
202201,8호선,산성,5247,5134,5247,5134
202201,8호선,석촌,7834,9000,7834,9000
202201,8호선,송파,7428,7543,7428,7543
202201,8호선,수진,5032,4668,5032,4668
202201,8호선,신흥,4010,4350,4010,4350
202201,8호선,암사,19027,16957,19027,16957
202201,8호선,잠실,13861,16140,13861,16140
202201,8호선,장지,17201,16776,17201,16776
202201,8호선,천호,14766,16755,14766,16755
202201,8호선,가락시장,8304,8965,8304,8965
202201,8호선,강동구청,11914,11943,11914,11943
202201,8호선,남위례,4066,4405,4066,4405
202201,8호선,남한산성입구,13630,12747,13630,12747
202201,8호선,단대오거리,10847,10910,10847,10910
202201,8호선,모란,5220,4002,5220,4002
202201,8호선,몽촌토성,6494,6565,6494,6565
202201,8호선,문정,24897,25648,24897,25648
202201,8호선,복정,10046,8473,10046,8473
202201,8호선,산성,5461,5529,5461,5529
202201,8호선,석촌,8437,9539,8437,9539
202201,8호선,송파,7962,8335,7962,8335
202201,8호선,수진,5314,5017,5314,5017
202201,8호선,신흥,4243,4646,4243,4646
202201,8호선,암사,19604,17786,19604,17786
202201,8호선,잠실,14945,17411,14945,17411
202201,8호선,장지,18348,17889,18348,17889
202201,8호선,천호,15230,17411,15230,17411
202201,8호선,가락시장,8199,8926,8199,8926
202201,8호선,강동구청,11012,11428,11012,11428
202201,8호선,남위례,3865,4148,3865,4148
202201,8호선,남한산성입구,13256,12175,13256,12175
202201,8호선,단대오거리,10444,10300,10444,10300
202201,8호선,모란,4285,3211,4285,3211
202201,8호선,몽촌토성,6185,6280,6185,6280
202201,8호선,문정,23521,24951,23521,24951
202201,8호선,복정,9538,8047,9538,8047
202201,8호선,산성,5239,5217,5239,5217
202201,8호선,석촌,7960,9080,7960,9080
202201,8호선,송파,7467,7600,7467,7600
202201,8호선,수진,5215,4853,5215,4853
202201,8호선,신흥,4155,4487,4155,4487
202201,8호선,암사,19213,17091,19213,17091
202201,8호선,잠실,14154,16494,14154,16494
202201,8호선,장지,17407,16856,17407,16856
202201,8호선,천호,15046,17074,15046,17074
202201,8호선,가락시장,8487,9305,8487,9305
202201,8호선,강동구청,10979,11432,10979,11432
202201,8호선,남위례,4000,4202,4000,4202
202201,8호선,남한산성입구,13608,12348,13608,12348
202201,8호선,단대오거리,10606,10250,10606,10250
202201,8호선,모란,4345,3430,4345,3430
202201,8호선,몽촌토성,6240,6346,6240,6346
202201,8호선,문정,22789,24000,22789,24000
202201,8호선,복정,9767,8266,9767,8266
202201,8호선,산성,5385,5325,5385,5325
202201,8호선,석촌,8067,9399,8067,9399
202201,8호선,송파,7636,7769,7636,7769
202201,8호선,수진,5307,4830,5307,4830
202201,8호선,신흥,4229,4596,4229,4596
202201,8호선,암사,19429,17291,19429,17291
202201,8호선,잠실,14519,17005,14519,17005
202201,8호선,장지,17637,16833,17637,16833
202201,8호선,천호,15735,18323,15735,18323
202201,8호선,가락시장,5883,5887,5883,5887
202201,8호선,강동구청,6185,6220,6185,6220
202201,8호선,남위례,2658,2880,2658,2880
202201,8호선,남한산성입구,8769,8088,8769,8088
202201,8호선,단대오거리,7453,7067,7453,7067
202201,8호선,모란,3589,3011,3589,3011
202201,8호선,몽촌토성,4014,4091,4014,4091
202201,8호선,문정,8589,8743,8589,8743
202201,8호선,복정,6099,5114,6099,5114
202201,8호선,산성,3864,3874,3864,3874
202201,8호선,석촌,5792,7183,5792,7183
202201,8호선,송파,4863,5000,4863,5000
202201,8호선,수진,4074,3678,4074,3678
202201,8호선,신흥,3352,3585,3352,3585
202201,8호선,암사,12331,11344,12331,11344
202201,8호선,잠실,12627,14506,12627,14506
202201,8호선,장지,11707,10848,11707,10848
202201,8호선,천호,11970,13941,11970,13941
202201,8호선,가락시장,3133,3872,3133,3872
202201,8호선,강동구청,4229,4513,4229,4513
202201,8호선,남위례,1942,2032,1942,2032
202201,8호선,남한산성입구,6380,6071,6380,6071
202201,8호선,단대오거리,5107,5105,5107,5105
202201,8호선,모란,2502,2108,2502,2108
202201,8호선,몽촌토성,2978,2856,2978,2856
202201,8호선,문정,5295,5512,5295,5512
202201,8호선,복정,4316,3986,4316,3986
202201,8호선,산성,2937,2949,2937,2949
202201,8호선,석촌,4109,4941,4109,4941
202201,8호선,송파,3221,3436,3221,3436
202201,8호선,수진,2964,2644,2964,2644
202201,8호선,신흥,2405,2522,2405,2522
202201,8호선,암사,8359,7999,8359,7999
202201,8호선,잠실,9225,10588,9225,10588
202201,8호선,장지,8295,8632,8295,8632
202201,8호선,천호,8351,9556,8351,9556
202201,8호선,가락시장,8200,9007,8200,9007
202201,8호선,강동구청,10725,11269,10725,11269
202201,8호선,남위례,3721,3958,3721,3958
202201,8호선,남한산성입구,13431,12336,13431,12336
202201,8호선,단대오거리,10650,10423,10650,10423
202201,8호선,모란,6192,4714,6192,4714
202201,8호선,몽촌토성,6065,6189,6065,6189
202201,8호선,문정,22816,24232,22816,24232
202201,8호선,복정,9344,7895,9344,7895
202201,8호선,산성,5199,5170,5199,5170
202201,8호선,석촌,7638,8896,7638,8896
202201,8호선,송파,7527,7595,7527,7595
202201,8호선,수진,5356,5038,5356,5038
202201,8호선,신흥,4203,4532,4203,4532
202201,8호선,암사,18881,16840,18881,16840
202201,8호선,잠실,13465,15598,13465,15598
202201,8호선,장지,16977,16512,16977,16512
202201,8호선,천호,14741,16531,14741,16531
202201,8호선,가락시장,8532,9472,8532,9472
202201,8호선,강동구청,10895,11372,10895,11372
202201,8호선,남위례,3795,3995,3795,3995
202201,8호선,남한산성입구,13233,12212,13233,12212
202201,8호선,단대오거리,10263,10192,10263,10192
202201,8호선,모란,4253,3217,4253,3217
202201,8호선,몽촌토성,5976,6071,5976,6071
202201,8호선,문정,23193,24613,23193,24613
202201,8호선,복정,9361,7991,9361,7991
202201,8호선,산성,5037,5104,5037,5104
202201,8호선,석촌,7790,8913,7790,8913
202201,8호선,송파,7428,7507,7428,7507
202201,8호선,수진,5131,4644,5131,4644
202201,8호선,신흥,4055,4411,4055,4411
202201,8호선,암사,19030,16958,19030,16958
202201,8호선,잠실,13725,16004,13725,16004
202201,8호선,장지,17414,16775,17414,16775
202201,8호선,천호,14901,16869,14901,16869
202201,8호선,가락시장,8300,9134,8300,9134
202201,8호선,강동구청,10892,11394,10892,11394
202201,8호선,남위례,3897,4120,3897,4120
202201,8호선,남한산성입구,13530,12301,13530,12301
202201,8호선,단대오거리,10483,10387,10483,10387
202201,8호선,모란,4219,3265,4219,3265
202201,8호선,몽촌토성,6114,6303,6114,6303
202201,8호선,문정,23176,24464,23176,24464
202201,8호선,복정,9716,8265,9716,8265
202201,8호선,산성,5282,5289,5282,5289
202201,8호선,석촌,8030,8952,8030,8952
202201,8호선,송파,7509,7743,7509,7743
202201,8호선,수진,5139,4733,5139,4733
202201,8호선,신흥,4216,4560,4216,4560
202201,8호선,암사,19236,17239,19236,17239
202201,8호선,잠실,13856,16270,13856,16270
202201,8호선,장지,17548,17125,17548,17125
202201,8호선,천호,14941,16982,14941,16982
202201,8호선,가락시장,8256,9274,8256,9274
202201,8호선,강동구청,10834,11365,10834,11365
202201,8호선,남위례,3711,4026,3711,4026
202201,8호선,남한산성입구,13061,11995,13061,11995
202201,8호선,단대오거리,10173,9879,10173,9879
202201,8호선,모란,4239,3231,4239,3231
202201,8호선,몽촌토성,6241,6265,6241,6265
202201,8호선,문정,22991,24215,22991,24215
202201,8호선,복정,9250,7817,9250,7817
202201,8호선,산성,5128,5132,5128,5132
202201,8호선,석촌,7773,8876,7773,8876
202201,8호선,송파,7303,7452,7303,7452
202201,8호선,수진,5190,4645,5190,4645
202201,8호선,신흥,4053,4313,4053,4313
202201,8호선,암사,18985,16789,18985,16789
202201,8호선,잠실,13698,15970,13698,15970
202201,8호선,장지,17215,16390,17215,16390
202201,8호선,천호,14937,16830,14937,16830
202201,8호선,가락시장,8129,9170,8129,9170
202201,8호선,강동구청,10652,11089,10652,11089
202201,8호선,남위례,3652,3905,3652,3905
202201,8호선,남한산성입구,12969,11556,12969,11556
202201,8호선,단대오거리,10329,9857,10329,9857
202201,8호선,모란,4230,3312,4230,3312
202201,8호선,몽촌토성,5942,5953,5942,5953
202201,8호선,문정,20803,21816,20803,21816
202201,8호선,복정,8987,7550,8987,7550
202201,8호선,산성,5094,5011,5094,5011
202201,8호선,석촌,7906,9082,7906,9082
202201,8호선,송파,7302,7469,7302,7469
202201,8호선,수진,5297,4746,5297,4746
202201,8호선,신흥,4116,4609,4116,4609
202201,8호선,암사,18613,16450,18613,16450
202201,8호선,잠실,14240,16430,14240,16430
202201,8호선,장지,16579,15660,16579,15660
202201,8호선,천호,15163,17407,15163,17407
202201,8호선,가락시장,5084,5705,5084,5705
202201,8호선,강동구청,5153,5137,5153,5137
202201,8호선,남위례,2222,2236,2222,2236
202201,8호선,남한산성입구,7826,6925,7826,6925
202201,8호선,단대오거리,6551,6120,6551,6120
202201,8호선,모란,4927,4000,4927,4000
202201,8호선,몽촌토성,3485,3329,3485,3329
202201,8호선,문정,5578,5290,5578,5290
202201,8호선,복정,4782,4108,4782,4108
202201,8호선,산성,3376,3377,3376,3377
202201,8호선,석촌,4953,5749,4953,5749
202201,8호선,송파,4191,4137,4191,4137
202201,8호선,수진,3790,3323,3790,3323
202201,8호선,신흥,3142,3294,3142,3294
202201,8호선,암사,10636,9834,10636,9834
202201,8호선,잠실,10491,11558,10491,11558
202201,8호선,장지,9408,9080,9408,9080
202201,8호선,천호,10117,11536,10117,11536
202201,8호선,가락시장,3320,3538,3320,3538
202201,8호선,강동구청,3744,3750,3744,3750
202201,8호선,남위례,1514,1624,1514,1624
202201,8호선,남한산성입구,5605,4994,5605,4994
202201,8호선,단대오거리,4615,4357,4615,4357
202201,8호선,모란,2273,1848,2273,1848
202201,8호선,몽촌토성,2417,2245,2417,2245
202201,8호선,문정,3601,3364,3601,3364
202201,8호선,복정,3441,3114,3441,3114
202201,8호선,산성,2460,2545,2460,2545
202201,8호선,석촌,3235,3898,3235,3898
202201,8호선,송파,2729,2899,2729,2899
202201,8호선,수진,2490,2232,2490,2232
202201,8호선,신흥,2102,2252,2102,2252
202201,8호선,암사,7761,7202,7761,7202
202201,8호선,잠실,7950,9081,7950,9081
202201,8호선,장지,7142,6972,7142,6972
202201,8호선,천호,7325,8256,7325,8256
202201,8호선,가락시장,2429,2604,2429,2604
202201,8호선,강동구청,2858,2900,2858,2900
202201,8호선,남위례,1108,1234,1108,1234
202201,8호선,남한산성입구,4322,4046,4322,4046
202201,8호선,단대오거리,3613,3424,3613,3424
202201,8호선,모란,1719,1487,1719,1487
202201,8호선,몽촌토성,1916,1830,1916,1830
202201,8호선,문정,2673,2561,2673,2561
202201,8호선,복정,2504,2109,2504,2109
202201,8호선,산성,1887,1925,1887,1925
202201,8호선,석촌,2382,2789,2382,2789
202201,8호선,송파,2049,2156,2049,2156
202201,8호선,수진,1997,1732,1997,1732
202201,8호선,신흥,1695,1747,1695,1747
202201,8호선,암사,5996,5757,5996,5757
202201,8호선,잠실,6106,6739,6106,6739
202201,8호선,장지,5669,5551,5669,5551
202201,8호선,천호,5103,5712,5103,5712
202202,8호선,가락시장,1471,1654,1471,1654
202202,8호선,강동구청,2538,2726,2538,2726
202202,8호선,남위례,981,1077,981,1077
202202,8호선,남한산성입구,3982,3878,3982,3878
202202,8호선,단대오거리,3254,3349,3254,3349
202202,8호선,모란,1571,1264,1571,1264
202202,8호선,몽촌토성,1702,1874,1702,1874
202202,8호선,문정,1997,2380,1997,2380
202202,8호선,복정,2217,1917,2217,1917
202202,8호선,산성,1703,1711,1703,1711
202202,8호선,석촌,2042,2615,2042,2615
202202,8호선,송파,1795,1978,1795,1978
202202,8호선,수진,1764,1739,1764,1739
202202,8호선,신흥,1516,1698,1516,1698
202202,8호선,암사,5024,5046,5024,5046
202202,8호선,잠실,5356,5827,5356,5827
202202,8호선,장지,3792,3775,3792,3775
202202,8호선,천호,4256,5224,4256,5224
202202,8호선,가락시장,2314,2631,2314,2631
202202,8호선,강동구청,3462,3728,3462,3728
202202,8호선,남위례,1531,1659,1531,1659
202202,8호선,남한산성입구,5087,4858,5087,4858
202202,8호선,단대오거리,4226,4178,4226,4178
202202,8호선,모란,2043,1673,2043,1673
