사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수,주중주말
202101,9호선,당산,5978,5867,11845,주말
202101,9호선,선유도,1721,1743,3464,주말
202101,9호선,신목동,1115,953,2068,주말
202101,9호선,염창,5939,5855,11794,주말
202101,9호선,등촌,3824,3931,7755,주말
202101,9호선,증미,2420,2522,4942,주말
202101,9호선,가양,7249,7409,14658,주말
202101,9호선,양천향교,2870,3083,5953,주말
202101,9호선,마곡나루,3267,3279,6546,주말
202101,9호선,신방화,2576,2459,5035,주말
202101,9호선,공항시장,1333,1466,2799,주말
202101,9호선,김포공항,4344,5124,9468,주말
202101,9호선,개화,736,642,1378,주말
202101,8호선,모란,2272,1866,4138,주말
202101,8호선,수진,2431,2353,4784,주말
202101,8호선,신흥,2345,2484,4829,주말
202101,8호선,단대오거리,4357,4072,8429,주말
202101,8호선,남한산성입구,5355,4898,10253,주말
202101,8호선,산성,3040,3079,6119,주말
202101,8호선,복정,3468,3109,6577,주말
202101,8호선,장지,7082,7066,14148,주말
202101,8호선,문정,3805,3996,7801,주말
202101,8호선,가락시장,2949,3163,6112,주말
202101,8호선,송파,2827,3062,5889,주말
202101,8호선,석촌,3256,3788,7044,주말
202101,8호선,잠실,7427,7584,15011,주말
202101,8호선,몽촌토성,2290,2362,4652,주말
202101,8호선,강동구청,3438,3653,7091,주말
202101,8호선,천호,7273,8424,15697,주말
202101,8호선,암사,7253,6852,14105,주말
202101,7호선,부평구청,3822,3404,7226,주말
202101,7호선,굴포천,3511,3533,7044,주말
202101,7호선,삼산체육관,1567,1481,3048,주말
202101,7호선,상동,5086,4998,10084,주말
202101,7호선,부천시청,5311,5251,10562,주말
202101,7호선,신중동,5267,5123,10390,주말
202101,7호선,춘의,2884,2800,5684,주말
202101,7호선,부천종합운동장,1716,1539,3255,주말
202101,7호선,까치울,2779,2797,5576,주말
202101,7호선,온수,3449,3291,6740,주말
202101,7호선,천왕,3655,3538,7193,주말
202101,7호선,광명사거리,10002,10003,20005,주말
202101,7호선,철산,8164,8106,16270,주말
202101,7호선,가산디지털단지,8348,7926,16274,주말
202101,7호선,남구로,5356,5433,10789,주말
202101,7호선,대림,4185,4099,8284,주말
202101,7호선,신풍,4738,4554,9292,주말
202101,7호선,보라매,3049,3043,6092,주말
202101,7호선,신대방삼거리,6370,6505,12875,주말
202101,7호선,장승배기,4047,3956,8003,주말
202101,7호선,상도,3819,3807,7626,주말
202101,7호선,숭실대입구,4311,4546,8857,주말
202101,7호선,남성,4508,4489,8997,주말
202101,7호선,이수,6211,5946,12157,주말
202101,7호선,내방,4439,4451,8890,주말
202101,7호선,고속터미널,6786,4984,11770,주말
202101,7호선,반포,2547,2372,4919,주말
202101,7호선,논현,6241,6719,12960,주말
202101,7호선,학동,4812,5038,9850,주말
202101,7호선,강남구청,4752,5195,9947,주말
202101,7호선,청담,5865,6086,11951,주말
202101,7호선,뚝섬유원지,3051,2951,6002,주말
202101,7호선,건대입구,6048,6063,12111,주말
202101,7호선,어린이대공원,6519,6429,12948,주말
202101,7호선,군자,6023,4865,10888,주말
202101,7호선,중곡,4064,3952,8016,주말
202101,7호선,용마산,2652,2712,5364,주말
202101,7호선,사가정,7520,7373,14893,주말
202101,7호선,면목,6737,6775,13512,주말
202101,7호선,상봉,7765,7612,15377,주말
202101,7호선,중화,4660,4605,9265,주말
202101,7호선,먹골,4375,4358,8733,주말
202101,7호선,태릉입구,3525,3119,6644,주말
202101,7호선,공릉,4733,4965,9698,주말
202101,7호선,하계,6884,6546,13430,주말
