사용일자,노선명,역명,승차총승객수,하차총승객수
20200203,1호선,청량리(서울시립대입구),21459,21065
20200203,1호선,동묘앞,7572,7863
20200204,1호선,서울역,48476,45855
20200204,1호선,시청,26051,26010
20200204,1호선,종각,45340,43607
20200204,1호선,종로3가,29523,28059
20200204,1호선,종로5가,24859,24243
20200204,1호선,동대문,11866,12054
20200204,1호선,신설동,15629,15484
20200204,1호선,제기동,17424,17861
20200204,1호선,청량리(서울시립대입구),21179,21383
20200204,1호선,동묘앞,7680,8062
20200205,1호선,서울역,46922,44674
20200205,1호선,시청,25340,25517
20200205,1호선,종각,44730,43016
20200205,1호선,종로3가,28444,26886
20200205,1호선,종로5가,22864,22545
20200205,1호선,동대문,11320,11372
20200205,1호선,신설동,15472,15080
20200205,1호선,제기동,15467,15527
20200205,1호선,청량리(서울시립대입구),19423,19408
20200205,1호선,동묘앞,6729,7089
20200206,1호선,서울역,47433,44662
20200206,1호선,시청,25157,25360
20200206,1호선,종각,43934,42848
20200206,1호선,종로3가,28680,26964
20200206,1호선,종로5가,23317,23327
20200206,1호선,동대문,11213,11191
20200206,1호선,신설동,15191,14692
20200206,1호선,제기동,16066,16089
20200206,1호선,청량리(서울시립대입구),19729,19822
20200206,1호선,동묘앞,6987,7295
20200207,1호선,서울역,53092,49805
20200207,1호선,시청,25082,25495
20200207,1호선,종각,44763,44435
20200207,1호선,종로3가,30582,29590
20200207,1호선,종로5가,23830,24042
20200207,1호선,동대문,11932,11959
20200207,1호선,신설동,16072,15634
20200207,1호선,제기동,16903,17115
20200207,1호선,청량리(서울시립대입구),21547,21146
20200207,1호선,동묘앞,7882,8277
20200208,1호선,시청,12410,12281
20200208,1호선,종각,22883,22186
20200208,1호선,종로3가,23123,22850
20200208,1호선,종로5가,17235,17251
20200208,1호선,동대문,10447,10254
20200208,1호선,신설동,10083,9531
20200208,1호선,제기동,13086,13344
20200208,1호선,청량리(서울시립대입구),17175,17130
20200208,1호선,동묘앞,9302,9632
20200208,1호선,서울역,31425,32139
20200209,1호선,서울역,25067,23190
20200209,1호선,시청,7438,7253
20200209,1호선,종각,13770,12374
20200209,1호선,종로3가,14035,13216
20200209,1호선,종로5가,8144,8068
20200209,1호선,동대문,8458,9916
20200209,1호선,신설동,7867,7645
20200209,1호선,제기동,8920,9143
20200209,1호선,청량리(서울시립대입구),12648,12573
20200209,1호선,동묘앞,9535,9457
20200210,1호선,서울역,48317,46088
20200210,1호선,시청,24689,24924
20200210,1호선,종각,43699,42901
20200210,1호선,종로3가,31777,30038
20200210,1호선,종로5가,24525,24814
20200210,1호선,동대문,11944,12317
20200210,1호선,신설동,15952,15585
20200210,1호선,제기동,17889,18265
20200210,1호선,청량리(서울시립대입구),21229,21161
20200210,1호선,동묘앞,7928,8457
20200211,1호선,서울역,48277,46129
20200211,1호선,시청,25706,25969
20200211,1호선,종각,44569,43273
20200211,1호선,종로3가,32111,30295
20200211,1호선,종로5가,25224,25285
20200211,1호선,동대문,12293,12765
20200211,1호선,신설동,15987,15525
20200211,1호선,제기동,18574,18825
20200211,1호선,청량리(서울시립대입구),21715,21855
20200211,1호선,동묘앞,8551,9113
20200212,1호선,서울역,47850,45385
20200212,1호선,시청,25337,25724
20200212,1호선,종각,44627,43224
20200212,1호선,종로3가,29768,28431
20200212,1호선,종로5가,24136,23904
20200212,1호선,동대문,11616,11735
20200212,1호선,신설동,15580,15115
20200212,1호선,제기동,15777,15788
