,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
301,2020-01-22,공항철도,검암,9125,8567,17692
302,2020-01-22,공항철도,청라국제도시,7667,7115,14782
303,2020-01-22,공항철도,운서,8125,8128,16253
304,2020-01-22,공항철도,공항화물청사,2896,3107,6003
305,2020-01-22,공항철도,인천공항1터미널,15101,16347,31448
306,2020-01-22,공항철도,인천공항2터미널,5657,5168,10825
307,2020-01-22,공항철도,영종,3106,3125,6231
308,2020-01-23,공항철도,서울역,13197,14481,27678
309,2020-01-23,공항철도,공덕,2773,3252,6025
310,2020-01-23,공항철도,홍대입구,12001,12208,24209
311,2020-01-23,공항철도,디지털미디어시티,14780,12284,27064
312,2020-01-23,공항철도,마곡나루,8157,6269,14426
313,2020-01-23,공항철도,김포공항,11700,6825,18525
314,2020-01-23,공항철도,계양,10381,9439,19820
315,2020-01-23,공항철도,검암,8805,8188,16993
316,2020-01-23,공항철도,청라국제도시,7544,6805,14349
317,2020-01-23,공항철도,운서,7911,7727,15638
318,2020-01-23,공항철도,공항화물청사,2545,2838,5383
319,2020-01-23,공항철도,인천공항1터미널,15615,16322,31937
320,2020-01-23,공항철도,인천공항2터미널,5528,5184,10712
321,2020-01-23,공항철도,영종,2971,3045,6016
322,2020-01-24,공항철도,영종,1742,1894,3636
323,2020-01-24,공항철도,인천공항2터미널,5546,4706,10252
324,2020-01-24,공항철도,인천공항1터미널,15792,14470,30262
325,2020-01-24,공항철도,공항화물청사,1175,1220,2395
326,2020-01-24,공항철도,운서,5486,5346,10832
327,2020-01-24,공항철도,청라국제도시,2854,2676,5530
328,2020-01-24,공항철도,검암,4005,4040,8045
329,2020-01-24,공항철도,계양,4454,4253,8707
330,2020-01-24,공항철도,김포공항,8852,4874,13726
331,2020-01-24,공항철도,마곡나루,1518,1433,2951
332,2020-01-24,공항철도,디지털미디어시티,3419,2645,6064
333,2020-01-24,공항철도,홍대입구,8200,7655,15855
334,2020-01-24,공항철도,공덕,1381,1502,2883
335,2020-01-24,공항철도,서울역,10180,12784,22964
336,2020-01-25,공항철도,서울역,12369,10578,22947
337,2020-01-25,공항철도,공덕,1084,1578,2662
338,2020-01-25,공항철도,홍대입구,6364,6656,13020
339,2020-01-25,공항철도,디지털미디어시티,2684,2594,5278
340,2020-01-25,공항철도,마곡나루,1265,1371,2636
341,2020-01-25,공항철도,김포공항,7742,4076,11818
342,2020-01-25,공항철도,계양,4484,4231,8715
343,2020-01-25,공항철도,검암,3834,3825,7659
344,2020-01-25,공항철도,청라국제도시,2291,2245,4536
345,2020-01-25,공항철도,운서,4860,5089,9949
346,2020-01-25,공항철도,공항화물청사,915,998,1913
347,2020-01-25,공항철도,인천공항1터미널,15692,12429,28121
348,2020-01-25,공항철도,인천공항2터미널,4878,3697,8575
349,2020-01-25,공항철도,영종,1708,1797,3505
350,2020-01-26,공항철도,서울역,14480,9077,23557
351,2020-01-26,공항철도,공덕,1193,1866,3059
352,2020-01-26,공항철도,홍대입구,9060,9601,18661
353,2020-01-26,공항철도,디지털미디어시티,2961,3274,6235
354,2020-01-26,공항철도,마곡나루,1484,1874,3358
355,2020-01-26,공항철도,김포공항,8775,4266,13041
356,2020-01-26,공항철도,계양,5045,4814,9859
357,2020-01-26,공항철도,검암,4212,4370,8582
358,2020-01-26,공항철도,청라국제도시,2778,2899,5677
359,2020-01-26,공항철도,운서,5043,5817,10860
360,2020-01-26,공항철도,공항화물청사,868,1050,1918
361,2020-01-26,공항철도,인천공항1터미널,13476,13392,26868
362,2020-01-26,공항철도,인천공항2터미널,4918,3604,8522
363,2020-01-26,공항철도,영종,1938,1927,3865
364,2020-01-27,공항철도,서울역,14715,10477,25192
365,2020-01-27,공항철도,공덕,1383,1955,3338
366,2020-01-27,공항철도,홍대입구,9298,9152,18450
367,2020-01-27,공항철도,디지털미디어시티,3375,3661,7036
368,2020-01-27,공항철도,마곡나루,1590,1948,3538
369,2020-01-27,공항철도,김포공항,10100,4543,14643
370,2020-01-27,공항철도,계양,5036,4930,9966
371,2020-01-27,공항철도,검암,4230,4365,8595
372,2020-01-27,공항철도,청라국제도시,3099,3116,6215
373,2020-01-27,공항철도,운서,5074,6193,11267
374,2020-01-27,공항철도,공항화물청사,1151,1311,2462
375,2020-01-27,공항철도,인천공항1터미널,13813,14045,27858
376,2020-01-27,공항철도,인천공항2터미널,5407,4237,9644
377,2020-01-27,공항철도,영종,2063,2059,4122
378,2020-01-28,공항철도,서울역,13616,9572,23188
379,2020-01-28,공항철도,공덕,2523,3250,5773
380,2020-01-28,공항철도,홍대입구,10574,10444,21018
381,2020-01-28,공항철도,디지털미디어시티,13962,12830,26792
382,2020-01-28,공항철도,마곡나루,6665,6009,12674
383,2020-01-28,공항철도,김포공항,10050,5987,16037
384,2020-01-28,공항철도,계양,9935,9038,18973
385,2020-01-28,공항철도,검암,8056,7833,15889
386,2020-01-28,공항철도,청라국제도시,6669,6249,12918
387,2020-01-28,공항철도,운서,7003,7887,14890
388,2020-01-28,공항철도,공항화물청사,2570,2847,5417
389,2020-01-28,공항철도,인천공항1터미널,14776,13529,28305
390,2020-01-28,공항철도,인천공항2터미널,5408,4253,9661
391,2020-01-28,공항철도,영종,2707,2862,5569
392,2020-01-29,공항철도,서울역,11921,9575,21496
393,2020-01-29,공항철도,공덕,2701,3436,6137
394,2020-01-29,공항철도,홍대입구,10983,11406,22389
395,2020-01-29,공항철도,디지털미디어시티,14984,13509,28493
396,2020-01-29,공항철도,마곡나루,7702,7008,14710
397,2020-01-29,공항철도,김포공항,11350,6001,17351
398,2020-01-29,공항철도,계양,10264,9388,19652
399,2020-01-29,공항철도,검암,8414,8114,16528
400,2020-01-29,공항철도,청라국제도시,7140,6621,13761
401,2020-01-29,공항철도,운서,7357,8012,15369
402,2020-01-29,공항철도,공항화물청사,2750,2932,5682
403,2020-01-29,공항철도,인천공항1터미널,15176,13122,28298
404,2020-01-29,공항철도,인천공항2터미널,5749,4430,10179
405,2020-01-29,공항철도,영종,2746,2836,5582
406,2020-01-30,공항철도,영종,2713,2892,5605
407,2020-01-30,공항철도,인천공항2터미널,5027,4087,9114
408,2020-01-30,공항철도,인천공항1터미널,14790,13034,27824
409,2020-01-30,공항철도,공항화물청사,2639,2935,5574
410,2020-01-30,공항철도,운서,7620,7936,15556
411,2020-01-30,공항철도,청라국제도시,7181,6642,13823
412,2020-01-30,공항철도,검암,8485,8074,16559
413,2020-01-30,공항철도,계양,10250,9294,19544
414,2020-01-30,공항철도,김포공항,10840,5850,16690
415,2020-01-30,공항철도,마곡나루,7705,6862,14567
