,사용일자,노선명,역명,승차총승객수,하차총승객수,승하차총승객수
371,20200108,7호선,사가정,17174,17222,34396
372,20200108,7호선,용마산,6764,6375,13139
373,20200108,7호선,중곡,11350,10709,22059
374,20200108,7호선,군자(능동),16743,13065,29808
375,20200108,7호선,어린이대공원(세종대),14073,13630,27703
376,20200108,7호선,건대입구,16438,17409,33847
377,20200108,7호선,청담,23714,26534,50248
378,20200108,7호선,강남구청,18439,20594,39033
379,20200108,7호선,학동,27202,29345,56547
380,20200108,7호선,논현,23286,25760,49046
381,20200108,7호선,반포,7550,7347,14897
382,20200108,7호선,고속터미널,20389,17237,37626
383,20200108,7호선,내방,16482,16907,33389
384,20200108,7호선,이수,19001,18807,37808
385,20200108,7호선,남성,13188,12208,25396
386,20200108,7호선,숭실대입구(살피재),15547,15402,30949
387,20200108,7호선,상도,13005,12421,25426
388,20200108,7호선,장승배기,11950,11576,23526
389,20200108,7호선,신대방삼거리,19268,18365,37633
390,20200108,7호선,보라매,11084,11333,22417
391,20200108,7호선,신풍,12929,12380,25309
392,20200108,7호선,대림(구로구청),10156,10085,20241
393,20200108,7호선,남구로,18324,19693,38017
394,20200108,7호선,가산디지털단지,50955,51111,102066
395,20200108,7호선,철산,26421,26939,53360
396,20200108,7호선,광명사거리,28019,27457,55476
397,20200108,7호선,천왕,11355,10388,21743
398,20200108,7호선,온수(성공회대입구),11676,11115,22791
399,20200108,7호선,까치울,8235,7834,16069
400,20200108,7호선,부천종합운동장,5135,4356,9491
401,20200108,7호선,춘의,10759,10417,21176
402,20200108,7호선,신중동,17026,16782,33808
403,20200108,7호선,부천시청,14362,14258,28620
404,20200108,7호선,상동,16070,16649,32719
405,20200108,7호선,삼산체육관,6088,5362,11450
406,20200108,7호선,굴포천,10268,10824,21092
407,20200108,7호선,부평구청,13509,11082,24591
408,20200109,7호선,장암,2719,914,3633
409,20200109,7호선,도봉산,9932,11413,21345
410,20200109,7호선,수락산,14344,14429,28773
411,20200109,7호선,마들,13832,13036,26868
412,20200109,7호선,노원,24017,25452,49469
413,20200109,7호선,중계,17624,15982,33606
414,20200109,7호선,하계,21014,19859,40873
415,20200109,7호선,공릉(서울과학기술대),13775,13744,27519
416,20200109,7호선,태릉입구,9437,8907,18344
417,20200109,7호선,먹골,11985,11744,23729
418,20200109,7호선,중화,12796,12524,25320
419,20200109,7호선,상봉(시외버스터미널),19320,18497,37817
420,20200109,7호선,면목,17351,16801,34152
421,20200109,7호선,사가정,17496,17648,35144
422,20200109,7호선,용마산,6853,6443,13296
423,20200109,7호선,중곡,11338,10531,21869
424,20200109,7호선,군자(능동),16820,13023,29843
425,20200109,7호선,어린이대공원(세종대),14397,14009,28406
426,20200109,7호선,건대입구,17203,18067,35270
427,20200109,7호선,뚝섬유원지,8012,7823,15835
