,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
201,2020-01-05,수인분당선,가천대,3618,4510,8128
202,2020-01-05,수인분당선,태평,9529,9018,18547
203,2020-01-05,수인분당선,모란,13301,13624,26925
204,2020-01-05,수인분당선,야탑,18076,17952,36028
205,2020-01-05,수인분당선,서현,19026,18871,37897
206,2020-01-05,수인분당선,수내,7793,7437,15230
207,2020-01-05,수인분당선,정자,8664,9184,17848
208,2020-01-05,수인분당선,미금,10301,10849,21150
209,2020-01-05,수인분당선,오리,7041,6116,13157
210,2020-01-05,수인분당선,이매,4910,4969,9879
211,2020-01-05,수인분당선,보정,1398,1307,2705
212,2020-01-05,수인분당선,죽전,9541,10988,20529
213,2020-01-05,수인분당선,구성,2795,2973,5768
214,2020-01-05,수인분당선,신갈,2514,2576,5090
215,2020-01-05,수인분당선,기흥,5959,5922,11881
216,2020-01-05,수인분당선,상갈,3573,3583,7156
217,2020-01-05,수인분당선,청명,2313,2433,4746
218,2020-01-05,수인분당선,영통,5737,5908,11645
219,2020-01-05,수인분당선,망포,7183,7477,14660
220,2020-01-05,수인분당선,매탄권선,2645,2585,5230
221,2020-01-05,수인분당선,수원시청,8468,8405,16873
222,2020-01-05,수인분당선,매교,1377,1419,2796
223,2020-01-05,수인분당선,달월,25,22,47
224,2020-01-05,수인분당선,월곶,1732,1616,3348
225,2020-01-05,수인분당선,소래포구,3808,3694,7502
226,2020-01-05,수인분당선,인천논현,3507,3721,7228
227,2020-01-05,수인분당선,호구포,2153,2164,4317
228,2020-01-05,수인분당선,남동인더스파크,612,702,1314
229,2020-01-05,수인분당선,원인재,3078,3254,6332
230,2020-01-05,수인분당선,연수,4035,4039,8074
231,2020-01-05,수인분당선,송도,1893,1835,3728
232,2020-01-05,수인분당선,인하대,4278,3712,7990
233,2020-01-05,수인분당선,숭의,2085,1964,4049
234,2020-01-05,수인분당선,신포,1368,1270,2638
235,2020-01-05,수인분당선,인천,1114,1792,2906
236,2020-01-06,수인분당선,선릉,15270,24661,39931
237,2020-01-06,수인분당선,한티,16722,17685,34407
238,2020-01-06,수인분당선,도곡,7883,8129,16012
239,2020-01-06,수인분당선,구룡,1807,1752,3559
240,2020-01-06,수인분당선,개포동,4012,4344,8356
241,2020-01-06,수인분당선,대모산입구,3884,3586,7470
242,2020-01-06,수인분당선,수서,15502,16155,31657
243,2020-01-06,수인분당선,복정,1,0,1
244,2020-01-06,수인분당선,수원,9142,6202,15344
245,2020-01-06,수인분당선,서울숲,9346,9433,18779
246,2020-01-06,수인분당선,압구정로데오,17729,19798,37527
247,2020-01-06,수인분당선,강남구청,11062,12938,24000
248,2020-01-06,수인분당선,선정릉,9556,10108,19664
249,2020-01-06,수인분당선,가천대,8330,9471,17801
250,2020-01-06,수인분당선,태평,15252,15034,30286
251,2020-01-06,수인분당선,모란,22970,23055,46025
252,2020-01-06,수인분당선,야탑,31430,33035,64465
253,2020-01-06,수인분당선,서현,31889,32079,63968
254,2020-01-06,수인분당선,수내,15724,15676,31400
255,2020-01-06,수인분당선,정자,19896,21307,41203
256,2020-01-06,수인분당선,미금,19591,20764,40355
257,2020-01-06,수인분당선,오리,13823,11756,25579
258,2020-01-06,수인분당선,이매,6287,6110,12397
259,2020-01-06,수인분당선,보정,3153,2774,5927
260,2020-01-06,수인분당선,죽전,15584,17341,32925
261,2020-01-06,수인분당선,구성,5781,5804,11585
262,2020-01-06,수인분당선,신갈,5652,5493,11145
263,2020-01-06,수인분당선,기흥,11175,10626,21801
264,2020-01-06,수인분당선,상갈,6319,5810,12129
265,2020-01-06,수인분당선,청명,4807,4535,9342
266,2020-01-06,수인분당선,영통,9759,9877,19636
267,2020-01-06,수인분당선,망포,15383,14507,29890
268,2020-01-06,수인분당선,매탄권선,4982,4745,9727
269,2020-01-06,수인분당선,수원시청,12342,13688,26030
270,2020-01-06,수인분당선,매교,2596,2652,5248
271,2020-01-06,수인분당선,달월,70,39,109
272,2020-01-06,수인분당선,월곶,2425,2351,4776
273,2020-01-06,수인분당선,소래포구,4463,4137,8600
274,2020-01-06,수인분당선,인천논현,6299,6603,12902
275,2020-01-06,수인분당선,호구포,3895,3983,7878
276,2020-01-06,수인분당선,남동인더스파크,2338,2505,4843
277,2020-01-06,수인분당선,원인재,4516,4600,9116
278,2020-01-06,수인분당선,연수,4837,4876,9713
279,2020-01-06,수인분당선,송도,2817,2513,5330
280,2020-01-06,수인분당선,인하대,5659,5385,11044
281,2020-01-06,수인분당선,숭의,4083,3769,7852
282,2020-01-06,수인분당선,신포,1791,1911,3702
