,사용일자,노선명,역명,승차총승객수,하차총승객수,승하차총승객수
407,20200201,우이신설선,화계,2451,2276,4727
408,20200201,우이신설선,삼양,1393,1475,2868
409,20200201,우이신설선,삼양사거리,1733,1737,3470
410,20200201,우이신설선,솔샘,3385,3020,6405
411,20200201,우이신설선,북한산보국문,4241,3723,7964
412,20200201,우이신설선,정릉,3221,2672,5893
413,20200201,우이신설선,성신여대입구(돈암),2129,2350,4479
414,20200201,우이신설선,보문,1089,1120,2209
415,20200201,우이신설선,신설동,1405,1340,2745
416,20200202,우이신설선,북한산우이,2689,2457,5146
417,20200202,우이신설선,솔밭공원,1256,1225,2481
418,20200202,우이신설선,4.19민주묘지,1674,1397,3071
419,20200202,우이신설선,가오리,2091,2031,4122
420,20200202,우이신설선,화계,1905,1797,3702
421,20200202,우이신설선,삼양,1176,1189,2365
422,20200202,우이신설선,삼양사거리,1402,1369,2771
423,20200202,우이신설선,솔샘,2502,2247,4749
424,20200202,우이신설선,북한산보국문,3409,3034,6443
425,20200202,우이신설선,정릉,2359,2050,4409
426,20200202,우이신설선,성신여대입구(돈암),1687,1817,3504
427,20200202,우이신설선,보문,950,1023,1973
428,20200202,우이신설선,신설동,1064,1079,2143
429,20200203,우이신설선,북한산우이,2337,2039,4376
430,20200203,우이신설선,솔밭공원,2292,2303,4595
431,20200203,우이신설선,4.19민주묘지,2672,2592,5264
432,20200203,우이신설선,가오리,3982,4071,8053
433,20200203,우이신설선,화계,3363,3242,6605
434,20200203,우이신설선,삼양,1966,2178,4144
435,20200203,우이신설선,삼양사거리,2543,2537,5080
436,20200203,우이신설선,솔샘,5765,5572,11337
437,20200203,우이신설선,북한산보국문,5586,5483,11069
438,20200203,우이신설선,정릉,4180,4050,8230
439,20200203,우이신설선,성신여대입구(돈암),2970,3295,6265
440,20200203,우이신설선,보문,1442,1549,2991
441,20200203,우이신설선,신설동,2163,2151,4314
442,20200204,우이신설선,북한산우이,2832,2532,5364
443,20200204,우이신설선,솔밭공원,2357,2347,4704
444,20200204,우이신설선,4.19민주묘지,2636,2598,5234
445,20200204,우이신설선,가오리,4145,4231,8376
446,20200204,우이신설선,화계,3436,3378,6814
447,20200204,우이신설선,삼양,2002,2232,4234
448,20200204,우이신설선,삼양사거리,2484,2543,5027
449,20200204,우이신설선,솔샘,5764,5586,11350
450,20200204,우이신설선,북한산보국문,5798,5713,11511
451,20200204,우이신설선,정릉,4258,4091,8349
452,20200204,우이신설선,성신여대입구(돈암),3171,3291,6462
453,20200204,우이신설선,보문,1563,1637,3200
454,20200204,우이신설선,신설동,2184,2233,4417
455,20200205,우이신설선,북한산우이,2089,1796,3885
456,20200205,우이신설선,솔밭공원,2240,2172,4412
457,20200205,우이신설선,4.19민주묘지,2448,2407,4855
458,20200205,우이신설선,가오리,3959,4001,7960
459,20200205,우이신설선,화계,3168,3054,6222
460,20200205,우이신설선,삼양,1879,2116,3995
461,20200205,우이신설선,삼양사거리,2253,2400,4653
462,20200205,우이신설선,솔샘,5646,5336,10982
463,20200205,우이신설선,북한산보국문,5557,5458,11015
464,20200205,우이신설선,정릉,4123,3934,8057
465,20200205,우이신설선,성신여대입구(돈암),3026,3208,6234
466,20200205,우이신설선,보문,1444,1553,2997
467,20200205,우이신설선,신설동,2123,2144,4267
468,20200206,우이신설선,북한산우이,2094,1811,3905
469,20200206,우이신설선,솔밭공원,2294,2278,4572
470,20200206,우이신설선,4.19민주묘지,2350,2312,4662
471,20200206,우이신설선,가오리,3840,3827,7667
472,20200206,우이신설선,화계,3109,2962,6071
473,20200206,우이신설선,삼양,1873,2068,3941
474,20200206,우이신설선,삼양사거리,2198,2337,4535
475,20200206,우이신설선,솔샘,5643,5325,10968
476,20200206,우이신설선,북한산보국문,5536,5312,10848
477,20200206,우이신설선,정릉,3985,3850,7835
478,20200206,우이신설선,성신여대입구(돈암),2861,3122,5983
479,20200206,우이신설선,보문,1359,1463,2822
480,20200206,우이신설선,신설동,2159,2153,4312
481,20200207,우이신설선,성신여대입구(돈암),3046,3371,6417
482,20200207,우이신설선,북한산우이,2241,1945,4186
483,20200207,우이신설선,솔밭공원,2312,2337,4649
484,20200207,우이신설선,4.19민주묘지,2619,2531,5150
485,20200207,우이신설선,가오리,4078,4007,8085
486,20200207,우이신설선,화계,3249,2952,6201
487,20200207,우이신설선,삼양,1952,2132,4084
488,20200207,우이신설선,삼양사거리,2355,2373,4728
489,20200207,우이신설선,솔샘,5853,5377,11230
490,20200207,우이신설선,북한산보국문,6020,5538,11558
491,20200207,우이신설선,정릉,4174,3948,8122
492,20200207,우이신설선,보문,1510,1553,3063
493,20200207,우이신설선,신설동,2137,2256,4393
494,20200208,우이신설선,북한산우이,2714,2625,5339
495,20200208,우이신설선,솔밭공원,1608,1531,3139
496,20200208,우이신설선,4.19민주묘지,1958,1807,3765
497,20200208,우이신설선,가오리,2673,2499,5172
498,20200208,우이신설선,화계,2385,2198,4583
499,20200208,우이신설선,삼양,1477,1508,2985
